organism	method	version	experiment no	experiment
human	bioid	version1.0	experiment1	CC1
human	bioid	version1.0	experiment10	CC10
human	bioid	version1.0	experiment100	CC100
human	bioid	version1.0	experiment101	CC101
human	bioid	version1.0	experiment102	CC102
human	bioid	version1.0	experiment1020	CC1020
human	bioid	version1.0	experiment1021	CC1021
human	bioid	version1.0	experiment1022	CC1022
human	bioid	version1.0	experiment1023	CC1023
human	bioid	version1.0	experiment1024	CC1024
human	bioid	version1.0	experiment1025	CC1025
human	bioid	version1.0	experiment1026	CC1026
human	bioid	version1.0	experiment1027	CC1027
human	bioid	version1.0	experiment1028	CC1028
human	bioid	version1.0	experiment1029	CC1029
human	bioid	version1.0	experiment103	CC103
human	bioid	version1.0	experiment1030	CC1030
human	bioid	version1.0	experiment1031	CC1031
human	bioid	version1.0	experiment1032	CC1032
human	bioid	version1.0	experiment1033	CC1033
human	bioid	version1.0	experiment1034	CC1034
human	bioid	version1.0	experiment1035	CC1035
human	bioid	version1.0	experiment1036	CC1036
human	bioid	version1.0	experiment1037	CC1037
human	bioid	version1.0	experiment1038	CC1038
human	bioid	version1.0	experiment1039	CC1039
human	bioid	version1.0	experiment104	CC104
human	bioid	version1.0	experiment1040	CC1040
human	bioid	version1.0	experiment1041	CC1041
human	bioid	version1.0	experiment1042	CC1042
human	bioid	version1.0	experiment1043	CC1043
human	bioid	version1.0	experiment1044	CC1044
human	bioid	version1.0	experiment1045	CC1045
human	bioid	version1.0	experiment1046	CC1046
human	bioid	version1.0	experiment1047	CC1047
human	bioid	version1.0	experiment1048	CC1048
human	bioid	version1.0	experiment1049	CC1049
human	bioid	version1.0	experiment105	CC105
human	bioid	version1.0	experiment1050	CC1050
human	bioid	version1.0	experiment1051	CC1051
human	bioid	version1.0	experiment1052	CC1052
human	bioid	version1.0	experiment1053	CC1053
human	bioid	version1.0	experiment1054	CC1054
human	bioid	version1.0	experiment1055	CC1055
human	bioid	version1.0	experiment1056	CC1056
human	bioid	version1.0	experiment1057	CC1057
human	bioid	version1.0	experiment1058	CC1058
human	bioid	version1.0	experiment1059	CC1059
human	bioid	version1.0	experiment106	CC106
human	bioid	version1.0	experiment1060	CC1060
human	bioid	version1.0	experiment1061	CC1061
human	bioid	version1.0	experiment1062	CC1062
human	bioid	version1.0	experiment1063	CC1063
human	bioid	version1.0	experiment1064	CC1064
human	bioid	version1.0	experiment1066	CC1066
human	bioid	version1.0	experiment1067	CC1067
human	bioid	version1.0	experiment1068	CC1068
human	bioid	version1.0	experiment1069	CC1069
human	bioid	version1.0	experiment107	CC107
human	bioid	version1.0	experiment1070	CC1070
human	bioid	version1.0	experiment1071	CC1071
human	bioid	version1.0	experiment1072	CC1072
human	bioid	version1.0	experiment1073	CC1073
human	bioid	version1.0	experiment1074	CC1074
human	bioid	version1.0	experiment1075	CC1075
human	bioid	version1.0	experiment1076	CC1076
human	bioid	version1.0	experiment1077	CC1077
human	bioid	version1.0	experiment1078	CC1078
human	bioid	version1.0	experiment1079	CC1079
human	bioid	version1.0	experiment108	CC108
human	bioid	version1.0	experiment1080	CC1080
human	bioid	version1.0	experiment1081	CC1081
human	bioid	version1.0	experiment1083	CC1083
human	bioid	version1.0	experiment1084	CC1084
human	bioid	version1.0	experiment1085	CC1085
human	bioid	version1.0	experiment1086	CC1086
human	bioid	version1.0	experiment1087	CC1087
human	bioid	version1.0	experiment1088	CC1088
human	bioid	version1.0	experiment1089	CC1089
human	bioid	version1.0	experiment109	CC109
human	bioid	version1.0	experiment1090	CC1090
human	bioid	version1.0	experiment1091	CC1091
human	bioid	version1.0	experiment1092	CC1092
human	bioid	version1.0	experiment1093	CC1093
human	bioid	version1.0	experiment1094	CC1094
human	bioid	version1.0	experiment1095	CC1095
human	bioid	version1.0	experiment1096	CC1096
human	bioid	version1.0	experiment1097	CC1097
human	bioid	version1.0	experiment1098	CC1098
human	bioid	version1.0	experiment1099	CC1099
human	bioid	version1.0	experiment11	CC11
human	bioid	version1.0	experiment110	CC110
human	bioid	version1.0	experiment1100	CC1100
human	bioid	version1.0	experiment1101	CC1101
human	bioid	version1.0	experiment1102	CC1102
human	bioid	version1.0	experiment1103	CC1103
human	bioid	version1.0	experiment1104	CC1104
human	bioid	version1.0	experiment1105	CC1105
human	bioid	version1.0	experiment1106	CC1106
human	bioid	version1.0	experiment1107	CC1107
human	bioid	version1.0	experiment1108	CC1108
human	bioid	version1.0	experiment1109	CC1109
human	bioid	version1.0	experiment111	CC111
human	bioid	version1.0	experiment1110	CC1110
human	bioid	version1.0	experiment1111	CC1111
human	bioid	version1.0	experiment1112	CC1112
human	bioid	version1.0	experiment1113	CC1113
human	bioid	version1.0	experiment1114	CC1114
human	bioid	version1.0	experiment1115	CC1115
human	bioid	version1.0	experiment1116	CC1116
human	bioid	version1.0	experiment1117	CC1117
human	bioid	version1.0	experiment1118	CC1118
human	bioid	version1.0	experiment1119	CC1119
human	bioid	version1.0	experiment112	CC112
human	bioid	version1.0	experiment1120	CC1120
human	bioid	version1.0	experiment1121	CC1121
human	bioid	version1.0	experiment1122	CC1122
human	bioid	version1.0	experiment1123	CC1123
human	bioid	version1.0	experiment1124	CC1124
human	bioid	version1.0	experiment1125	CC1125
human	bioid	version1.0	experiment1126	CC1126
human	bioid	version1.0	experiment1127	CC1127
human	bioid	version1.0	experiment1128	CC1128
human	bioid	version1.0	experiment1129	CC1129
human	bioid	version1.0	experiment113	CC113
human	bioid	version1.0	experiment1130	CC1130
human	bioid	version1.0	experiment1131	CC1131
human	bioid	version1.0	experiment1132	CC1132
human	bioid	version1.0	experiment1133	CC1133
human	bioid	version1.0	experiment1134	CC1134
human	bioid	version1.0	experiment1135	CC1135
human	bioid	version1.0	experiment1136	CC1136
human	bioid	version1.0	experiment1137	CC1137
human	bioid	version1.0	experiment1138	CC1138
human	bioid	version1.0	experiment1139	CC1139
human	bioid	version1.0	experiment114	CC114
human	bioid	version1.0	experiment1140	CC1140
human	bioid	version1.0	experiment1141	CC1141
human	bioid	version1.0	experiment1142	CC1142
human	bioid	version1.0	experiment1143	CC1143
human	bioid	version1.0	experiment1144	CC1144
human	bioid	version1.0	experiment1145	CC1145
human	bioid	version1.0	experiment1146	CC1146
human	bioid	version1.0	experiment1147	CC1147
human	bioid	version1.0	experiment1148	CC1148
human	bioid	version1.0	experiment1149	CC1149
human	bioid	version1.0	experiment115	CC115
human	bioid	version1.0	experiment1150	CC1150
human	bioid	version1.0	experiment1151	CC1151
human	bioid	version1.0	experiment1152	CC1152
human	bioid	version1.0	experiment1153	CC1153
human	bioid	version1.0	experiment1154	CC1154
human	bioid	version1.0	experiment1155	CC1155
human	bioid	version1.0	experiment1156	CC1156
human	bioid	version1.0	experiment1157	CC1157
human	bioid	version1.0	experiment1158	CC1158
human	bioid	version1.0	experiment1159	CC1159
human	bioid	version1.0	experiment1160	CC1160
human	bioid	version1.0	experiment1161	CC1161
human	bioid	version1.0	experiment1162	CC1162
human	bioid	version1.0	experiment1163	CC1163
human	bioid	version1.0	experiment1164	CC1164
human	bioid	version1.0	experiment1165	CC1165
human	bioid	version1.0	experiment1166	CC1166
human	bioid	version1.0	experiment1167	CC1167
human	bioid	version1.0	experiment1168	CC1168
human	bioid	version1.0	experiment1169	CC1169
human	bioid	version1.0	experiment117	CC117
human	bioid	version1.0	experiment1170	CC1170
human	bioid	version1.0	experiment1171	CC1171
