File	Terminal	Tag	Purification
9_1_Bio_S1-E9_1	C	MAC	BioID
9_2_Bio_S1-E10_1	C	MAC	BioID
9_3_Bio_S1-E11_1	C	MAC	BioID
BID_GFP_C_1_S1-B10_1	C	MAC	BioID
BID_GFP_C_1_S1-B6_1	C	MAC	BioID
BID_GFP_C_1_S1-B6_1	C	MAC	BioID
BID_GFP_C_2_S1-B11_1	C	MAC	BioID
BID_GFP_C_2_S1-B7_1	C	MAC	BioID
BID_GFP_C_2_S1-B7_1	C	MAC	BioID
BID_GFP_C_3_S1-B8_1	C	MAC	BioID
BID_GFP_C_3_S1-B8_1	C	MAC	BioID
BID_GFP_N_1_S1-B10_1	N	MAC	BioID
BID_GFP_N_2_S1-B11_1	N	MAC	BioID
BID_GFP_N_3_S1-B12_1	N	MAC	BioID
Bio_GFP_1_S2-A1_1	C	MAC	BioID
Bio_GFP_2_S2-A2_1	C	MAC	BioID
Bio_GFP_3_S2-A3_1	C	MAC	BioID
Bio_GFP_4_S2-A4_1	C	MAC	BioID
GFP1_Bio_S1-C3_1	C	MAC	BioID
GFP1_Bio_S1-C4_1	C	MAC	BioID
GFP1_Bio_S1-C5_1	C	MAC	BioID
GFP1_Bio_S1-C6_1	C	MAC	BioID
GFP_BIO1_S3-D5_1	C	MAC	BioID
GFP_BIO2_S3-D6_1	C	MAC	BioID
GFP_BIOID_Slot1-23_1	C	MAC	BioID
GFP_BIOID_Slot1-24_1	C	MAC	BioID
GFP_BIO_1_S1-C12_1	C	MAC	BioID
GFP_C_1_Bio_S1-B8_1	C	MAC	BioID
GFP_C_2_Bio_S1-B9_1	C	MAC	BioID
GFP_C_BIO_1_S2-C6_1	C	MAC	BioID
GFP_C_BIO_2_S2-C7_1	C	MAC	BioID
GFP_C_BIO_3_S2-C8_1	C	MAC	BioID
GFP_N_1_Bio_S1-B11_1	N	MAC	BioID
GFP_N_2_Bio_S1-B12_1	N	MAC	BioID
GFP_S1-H2_1	C	MAC	BioID
GFP_S1-H3_1	C	MAC	BioID
MAC2_C_GFP_BIO10_S1-B5_1	C	MAC2	BioID
MAC2_C_GFP_BIO1_S3-E1_1	C	MAC2	BioID
MAC2_C_GFP_BIO2_S3-E2_1	C	MAC2	BioID
MAC2_C_GFP_BIO3_S3-E3_1	C	MAC2	BioID
MAC2_C_GFP_BIO4_S3-E4_1	C	MAC2	BioID
MAC2_C_GFP_BIO5_S3-E5_1	C	MAC2	BioID
MAC2_C_GFP_BIO6_S3-E6_1	C	MAC2	BioID
MAC2_C_GFP_BIO7_S3-E7_1	C	MAC2	BioID
MAC2_C_GFP_BIO8_S3-E8_1	C	MAC2	BioID
MAC2_C_GFP_BIO9_S1-B4_1	C	MAC2	BioID
MAC2_N_GFP_BIO10_S1-B8_1	N	MAC2	BioID
MAC2_N_GFP_BIO1_S3-F1_1	N	MAC2	BioID
MAC2_N_GFP_BIO2_S3-F2_1	N	MAC2	BioID
MAC2_N_GFP_BIO3_S3-F3_1	N	MAC2	BioID
MAC2_N_GFP_BIO4_S3-F4_1	N	MAC2	BioID
MAC2_N_GFP_BIO5_S3-F5_1	N	MAC2	BioID
MAC2_N_GFP_BIO6_S3-F6_1	N	MAC2	BioID
MAC2_N_GFP_BIO7_S3-F7_1	N	MAC2	BioID
MAC2_N_GFP_BIO8_S3-F8_1	N	MAC2	BioID
MAC2_N_GFP_BIO9_S1-B7_1	N	MAC2	BioID
MAC_N_GFP_BIO4_S3-D4_1	N	MAC	BioID
MAC_N_GFP_BIO5_S3-D5_1	N	MAC	BioID
SUC_N_GFP_BIO10_S1-C2_1	N	MAC3	BioID
SUC_N_GFP_BIO1_S3-H1_1	N	MAC3	BioID
SUC_N_GFP_BIO2_S3-H2_1	N	MAC3	BioID
SUC_N_GFP_BIO3_S3-H3_1	N	MAC3	BioID
SUC_N_GFP_BIO4_S3-H4_1	N	MAC3	BioID
SUC_N_GFP_BIO5_S3-H5_1	N	MAC3	BioID
SUC_N_GFP_BIO6_S3-H6_1	N	MAC3	BioID
SUC_N_GFP_BIO7_S3-H7_1	N	MAC3	BioID
SUC_N_GFP_BIO8_S3-H8_1	N	MAC3	BioID
SUC_N_GFP_BIO9_S1-C1_1	N	MAC3	BioID
BID_GFP_MED_NLS_1_S1-C6_1	MED-NLS	MAC	BioID
BID_GFP_MED_NLS_2_S1-C7_1	MED-NLS	MAC	BioID
BID_GFP_MED_NLS_3_S1-C8_1	MED-NLS	MAC	BioID
