Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
Q9Y216	26938.7	27059.6	25907.5	15264.7	16742.2	18715.3	18132.9	17869.2	16992.8
Q96D15	42736.3	48695.7	49874.3	52359.0	44011.3	43237.9	31856.7	34184.7	31195.2
Q9Y2S2	5308.51	4321.57	3833.15	5732.85	5281.77	6015.55	6512.9	6265.65	5700.66
Q9H329	6533.1	8116.1	7932.0	9421.15	8983.32	10333.6	9606.54	8482.76	8866.83
B4DJY2		11172.1		13480.2			10789.9	11133.4	
P06729	6679.37	5883.07	7329.49	7326.28	7117.36	7565.0	9825.28	10197.1	10539.3
P51159	5913.8	8421.24	7875.91	8402.3	6452.3	7868.77	7947.9	9358.5	9084.77
O15062	8866.3	7988.39	8826.84	8602.24	8224.97	8347.64	9021.02	10244.5	9746.13
O76076	15289.6	15970.2	14444.1	13782.5	15745.9	14788.4	16564.3	15498.4	16410.1
Q96S99	8982.8	7430.12	6435.75	8694.21	7621.46	7310.3	8182.24	8988.92	8479.8
A4D0V7	8880.83	7353.34	7439.79	8803.63	6437.51	7288.45	6935.0	6542.72	6771.31
Q9HBH9	7216.52	9273.77	7801.58	9165.96	8652.73	8798.87	9447.17	10788.6	9834.95
Q96HA4	9671.81	9842.82	12078.4	14574.2	13696.9	14476.7	15563.7	11862.9	14902.4
Q9Y3D9		13337.9	13924.4	9991.3	10713.0	11137.7	11320.3	12122.8	9225.06
O75578	6883.12	6732.38	6932.36	7426.56	6911.77	8716.37	9547.63	10508.1	8416.78
Q96DT5	926.367	844.201	1362.36	1785.98	1978.37	2248.68	1309.49	1673.57	1535.96
O15371	28841.2	28778.9	29148.8	21308.5	22954.4	19494.1	21120.4	22833.2	23499.2
Q4VC31	3756.09	4724.19	4352.02	3110.53	2742.88	3511.18	4141.94	3339.0	4073.42
Q14320	9290.24		5174.01	9070.04	5879.18	6653.15	6143.63	5971.78	4320.38
P17050	2465.79	1924.19	3380.03	2881.38	2628.04	4457.26	2851.56	2842.4	2985.46
Q9Y3E1	40809.4	40157.8	39129.1	30892.8	35751.6	36507.2	33747.2	31671.1	29532.8
O00560	483.739	453.945			398.8		597.392	913.67	744.898
Q9H0B8	1322.89	2513.4	2431.48	1533.48	1799.94	2104.6	4182.02	3737.8	3365.98
Q5K130	3443.55	2845.08	2895.96	3144.65	3547.22	2517.48	3486.65	3873.29	3550.47
Q7Z7H3	17265.8	16956.2	18322.8	20340.3	20786.4	19809.5	22992.7	23309.5	23737.0
Q6ZMM2	12238.8	13880.4	12619.6	12851.0	13262.3	13017.8	12809.8	12457.1	15275.6
O75899	6318.57	5794.56	5934.82	4235.5	5661.86	3488.02	3816.79	4392.29	3969.07
Q8N726	1741.81	2423.21	1227.11	1152.85	1335.57	1552.57	868.963	1448.61	1541.3
A0A0U1RRN3	2672.66	3422.61	2431.51	1767.41	1680.89	1935.3	1911.77	2088.8	1938.47
Q9UBG3	11669.0	11799.8	11810.4	12824.9	12308.3	12320.8	13977.1	13745.5	12826.3
Q8WVZ7	41301.8	45029.9	44866.4	41586.4	43863.6	41510.3	40499.4	37948.7	35434.2
P0C626	1240.64	1704.14	1316.43		356.324	634.084	1090.97	664.734	1004.37
Q7L592	3063.81	3515.2	3324.06	2462.99	3552.25	2330.43	3787.15	2867.65	3770.83
Q9UK45		1984.92	2407.54	5447.9	2753.92	3192.75	3024.0	2753.25	3010.79
Q9UKW4	22545.5	23816.0	23013.4	21701.3	21954.1	21572.5	20527.4	20129.8	20270.7
Q14CS0	20239.6	17159.4	16892.4	11186.1	12044.5	11745.1	10821.9	9470.2	12274.0
P0C870	29983.5	33407.5	29479.8	24131.4	20688.9	25884.4	20195.0	18071.8	19440.2
A6NDK9	7735.65	7578.98	7977.6	9880.41	9221.16	9515.48	10868.8	10815.0	10325.4
Q6ZQX7	21974.9	22664.8	22980.5	20750.8	22371.4	19825.9	20846.0	22283.6	24089.9
O43869	2861.87	2502.89	2669.17	3758.64	2427.91	2326.1	4093.83	3929.92	3095.81
Q9BYN7	2355.72		1387.79		1690.48	1509.28	1505.52		
Q9Y605	6566.72	7344.48	6594.97	6672.55	8721.8	9856.73	9072.3	10433.5	10680.7
A4D2P6	8363.16	7044.6	7010.62	7490.46	6921.81	8358.86	9786.45	10289.0	10905.0
Q5T3I0	3833.86	2876.11	3468.11	4395.93	3010.42	3105.85	4000.69	3994.4	3549.34
Q53TN4	10134.3	10781.7	13319.8	11863.3	12434.5	14168.0	17104.5	16045.5	14792.0
Q5U5X8		1878.88		2211.37	2023.88	2010.12	2326.65	2326.03	1793.63
P61925	2338.17	1937.38	1867.9	3726.73	3249.82	3251.2	3643.63	3993.15	3101.72
O60543		1671.0	2375.24	3844.09	4439.69	4359.99	3186.95	2920.12	1723.44
O76009	5252.39	7305.78	7977.49	2723.81	5433.15	960.054	6972.18	8315.67	8125.2
Q6IF82	12181.2	9537.19	9937.34	6607.89	6910.47	7853.32	5397.43	6713.83	7149.51
Q92688	20822.9	16857.5	14659.9	14284.3	16582.5	21227.3	20412.6	23635.7	22167.1
Q9P1G2	1580000.0	1670000.0	1790000.0	1420000.0	1520000.0	1520000.0	1670000.0	1540000.0	1660000.0
P21695	36399.3	44231.7	42809.0	19924.7		25496.8	59139.9	41335.3	51669.6
Q9P2E8	38065.5	35774.9	35946.2	30979.1	30535.4	30632.8	29454.4	28481.5	28222.2
Q8NE22	5596.91	5090.74	4834.09	4393.04	6605.97	5224.11	5800.56	4937.36	6353.58
Q5T036						2832.27			1526.04
Q0D2K0	20420.2	23389.3	19198.8	19652.8	17752.6	14841.8	19810.4	16821.2	19434.5
Q6ZVL8		5371.26	4393.13	3064.1			6453.4		5758.69
Q9P2N5	12939.7	14600.7	15776.1	12332.4	12990.4	13219.2	14231.3	15844.7	19121.9
