PROTID	GENEID	18381_Liu_MAC3_C_GFP1_BIO1_S1_C12_1_INT	18382_Liu_MAC3_C_GFP2_BIO1_S1_D1_1_INT	18383_Liu_MAC3_C_GFP3_BIO1_S1_D2_1_INT	18385_Liu_MAC3_C_GFP4_BIO1_S1_D4_1_INT	18386_Liu_MAC3_C_GFP5_BIO1_S1_D5_1_INT	18387_Liu_MAC3_C_GFP6_BIO1_S1_D6_1_INT	18389_Liu_MAC3_C_GFP7_BIO1_S1_D8_1_INT	18390_Liu_MAC3_C_GFP8_BIO1_S1_D9_1_INT	18391_Liu_MAC3_C_GFP9_BIO1_S1_D10_1_INT	18422_Liu_MAC3_C_GFP1_BIO2_S3_A2_1_INT	18423_Liu_MAC3_C_GFP2_BIO2_S3_A3_1_INT	18424_Liu_MAC3_C_GFP3_BIO2_S3_A4_1_INT	18426_Liu_MAC3_C_GFP4_BIO2_S3_A6_1_INT	18427_Liu_MAC3_C_GFP5_BIO2_S3_A7_1_INT	18428_Liu_MAC3_C_GFP6_BIO2_S3_A8_1_INT	18430_Liu_MAC3_C_GFP7_BIO2_S3_A10_1_INT	18431_Liu_MAC3_C_GFP8_BIO2_S3_A11_1_INT	18432_Liu_MAC3_C_GFP9_BIO2_S3_A12_1_INT	18434_Liu_MAC3_C_GFP1_BIO3_S3_B2_1_INT	18435_Liu_MAC3_C_GFP2_BIO3_S3_B3_1_INT	18436_Liu_MAC3_C_GFP3_BIO3_S3_B4_1_INT	18438_Liu_MAC3_C_GFP4_BIO3_S3_B6_1_INT	18439_Liu_MAC3_C_GFP5_BIO3_S3_B7_1_INT	18440_Liu_MAC3_C_GFP6_BIO3_S3_B8_1_INT	18442_Liu_MAC3_C_GFP7_BIO3_S3_B10_1_INT	18443_Liu_MAC3_C_GFP8_BIO3_S3_B11_1_INT	18444_Liu_MAC3_C_GFP9_BIO3_S3_B12_1_INT	18446_Liu_MAC3_C_GFP1_AP1_S3_C2_1_INT	18447_Liu_MAC3_C_GFP2_AP1_S3_C3_1_INT	18448_Liu_MAC3_C_GFP3_AP1_S3_C4_1_INT	18450_Liu_MAC3_C_GFP4_AP1_S3_C6_1_INT	18451_Liu_MAC3_C_GFP5_AP1_S3_C7_1_INT	18452_Liu_MAC3_C_GFP6_AP1_S3_C8_1_INT	18454_Liu_MAC3_C_GFP7_AP1_S3_C10_1_INT	18455_Liu_MAC3_C_GFP8_AP1_S3_C11_1_INT	18456_Liu_MAC3_C_GFP9_AP1_S3_C12_1_INT	18458_Liu_MAC3_C_GFP1_AP2_S3_D2_1_INT	18459_Liu_MAC3_C_GFP2_AP2_S3_D3_1_INT	18460_Liu_MAC3_C_GFP3_AP2_S3_D4_1_INT	18462_Liu_MAC3_C_GFP4_AP2_S3_D6_1_INT	18463_Liu_MAC3_C_GFP5_AP2_S3_D7_1_INT	18464_Liu_MAC3_C_GFP6_AP2_S3_D8_1_INT	18466_Liu_MAC3_C_GFP7_AP2_S3_D10_1_INT	18467_Liu_MAC3_C_GFP8_AP2_S3_D11_1_INT	18468_Liu_MAC3_C_GFP9_AP2_S3_D12_1_INT	18470_Liu_MAC3_C_GFP1_AP3_S3_E2_1_INT	18471_Liu_MAC3_C_GFP2_AP3_S3_E3_1_INT	18472_Liu_MAC3_C_GFP3_AP3_S3_E4_1_INT	18474_Liu_MAC3_C_GFP4_AP3_S3_E6_1_INT	18475_Liu_MAC3_C_GFP5_AP3_S3_E7_1_INT	18476_Liu_MAC3_C_GFP6_AP3_S3_E8_1_INT	18478_Liu_MAC3_C_GFP7_AP3_S3_E10_1_INT	18479_Liu_MAC3_C_GFP8_AP3_S3_E11_1_INT	18480_Liu_MAC3_C_GFP9_AP3_S3_E12_1_INT
na	na	18381_Liu_MAC3_C_GFP1_BIO1_S1_C12	18382_Liu_MAC3_C_GFP2_BIO1_S1_D1	18383_Liu_MAC3_C_GFP3_BIO1_S1_D2	18385_Liu_MAC3_C_GFP4_BIO1_S1_D4	18386_Liu_MAC3_C_GFP5_BIO1_S1_D5	18387_Liu_MAC3_C_GFP6_BIO1_S1_D6	18389_Liu_MAC3_C_GFP7_BIO1_S1_D8	18390_Liu_MAC3_C_GFP8_BIO1_S1_D9	18391_Liu_MAC3_C_GFP9_BIO1_S1_D10	18422_Liu_MAC3_C_GFP1_BIO2_S3_A2	18423_Liu_MAC3_C_GFP2_BIO2_S3_A3	18424_Liu_MAC3_C_GFP3_BIO2_S3_A4	18426_Liu_MAC3_C_GFP4_BIO2_S3_A6	18427_Liu_MAC3_C_GFP5_BIO2_S3_A7	18428_Liu_MAC3_C_GFP6_BIO2_S3_A8	18430_Liu_MAC3_C_GFP7_BIO2_S3_A10	18431_Liu_MAC3_C_GFP8_BIO2_S3_A11	18432_Liu_MAC3_C_GFP9_BIO2_S3_A12	18434_Liu_MAC3_C_GFP1_BIO3_S3_B2	18435_Liu_MAC3_C_GFP2_BIO3_S3_B3	18436_Liu_MAC3_C_GFP3_BIO3_S3_B4	18438_Liu_MAC3_C_GFP4_BIO3_S3_B6	18439_Liu_MAC3_C_GFP5_BIO3_S3_B7	18440_Liu_MAC3_C_GFP6_BIO3_S3_B8	18442_Liu_MAC3_C_GFP7_BIO3_S3_B10	18443_Liu_MAC3_C_GFP8_BIO3_S3_B11	18444_Liu_MAC3_C_GFP9_BIO3_S3_B12	18446_Liu_MAC3_C_GFP1_AP1_S3_C2	18447_Liu_MAC3_C_GFP2_AP1_S3_C3	18448_Liu_MAC3_C_GFP3_AP1_S3_C4	18450_Liu_MAC3_C_GFP4_AP1_S3_C6	18451_Liu_MAC3_C_GFP5_AP1_S3_C7	18452_Liu_MAC3_C_GFP6_AP1_S3_C8	18454_Liu_MAC3_C_GFP7_AP1_S3_C10	18455_Liu_MAC3_C_GFP8_AP1_S3_C11	18456_Liu_MAC3_C_GFP9_AP1_S3_C12	18458_Liu_MAC3_C_GFP1_AP2_S3_D2	18459_Liu_MAC3_C_GFP2_AP2_S3_D3	18460_Liu_MAC3_C_GFP3_AP2_S3_D4	18462_Liu_MAC3_C_GFP4_AP2_S3_D6	18463_Liu_MAC3_C_GFP5_AP2_S3_D7	18464_Liu_MAC3_C_GFP6_AP2_S3_D8	18466_Liu_MAC3_C_GFP7_AP2_S3_D10	18467_Liu_MAC3_C_GFP8_AP2_S3_D11	18468_Liu_MAC3_C_GFP9_AP2_S3_D12	18470_Liu_MAC3_C_GFP1_AP3_S3_E2	18471_Liu_MAC3_C_GFP2_AP3_S3_E3	18472_Liu_MAC3_C_GFP3_AP3_S3_E4	18474_Liu_MAC3_C_GFP4_AP3_S3_E6	18475_Liu_MAC3_C_GFP5_AP3_S3_E7	18476_Liu_MAC3_C_GFP6_AP3_S3_E8	18478_Liu_MAC3_C_GFP7_AP3_S3_E10	18479_Liu_MAC3_C_GFP8_AP3_S3_E11	18480_Liu_MAC3_C_GFP9_AP3_S3_E12
A0A024RBG1	NUDT4B	14427.806	0	29043.69	0	11682.329	36606.22	0	0	0	0	0	17486.559	0	18029.23	11036.894	0	0	0	0	0	10750.254	0	12182.906	11706.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15822.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0B4J2D5	GATD3B	119880.69	88919.73	95742.484	41591.836	127066.07	102613.66	54709.953	41053.242	18278.969	133271.5	31945.719	115397.13	16903.299	85663.72	108054.34	30621.74	78175.55	20640.291	129012.875	66825.15	108740.31	33810.72	126893.09	130834.13	76585.34	37728.832	17965.277	306162.6	258102.47	229976.9	187549.83	229399.95	255631.69	191759.94	643935.5	221607.53	294903.0	295232.8	228985.89	198876.11	260632.77	213915.44	181662.97	635399.4	179878.12	301243.03	266267.56	238948.48	184798.33	254864.66	226933.03	167815.47	615046.3	164128.55
A0A3B3IU46	RAMACL	17603.266	19470.77	23865.338	0	15327.8955	45440.188	13020.627	11245.684	9403.549	15156.089	15681.482	38283.086	0	14080.529	19883.842	15466.9	12071.193	7007.723	21129.115	20291.178	40025.664	0	34013.766	49332.18	17018.275	14740.428	8469.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A804HLA8	GNG5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17564.518	0	16176.155	0	0	0	0	0	0	0	0	18920.459	0	0	0	0	0	0	0	0	19628.479	0
A0AVK6	E2F8	43141.63	34734.14	38401.055	34856.06	44403.484	44512.055	31850.797	35966.758	22447.295	37235.15	30216.414	47385.703	33339.023	42996.445	43640.86	16493.49	33969.406	29304.266	33562.62	34463.625	40979.547	36306.703	49126.95	44049.992	32166.861	35968.848	30985.293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AVT1	UBA6	348857.22	435270.44	324502.22	362981.1	351379.8	318300.75	786279.4	728026.6	655333.7	338939.44	655071.1	309377.16	353158.94	316570.34	305418.38	655075.5	635363.8	665833.94	316248.7	474076.9	316251.94	345868.12	302670.8	315020.4	720262.2	657760.44	800269.25	493667.03	312318.97	347794.94	481622.12	406615.9	525232.06	569759.25	547732.6	360938.47	396394.97	318473.97	466904.34	488579.12	403618.5	496110.44	555279.94	552225.44	266906.34	396981.62	335218.1	464812.56	401519.84	408462.78	536544.3	581286.2	651097.2	243274.84
A0FGR8	ESYT2	157519.86	237007.27	153387.8	165090.78	154537.67	105165.99	277278.62	246832.92	241128.08	280051.6	333457.12	156172.97	212257.83	293953.53	102079.516	286670.38	257761.86	288496.38	172716.72	325075.0	194044.67	165357.52	136401.69	94350.875	325644.88	263181.5	275850.34	81585.11	155490.4	136928.69	126441.56	84604.63	96158.54	76959.63	113743.27	151626.81	126039.39	177678.44	138616.16	156277.61	142223.22	144093.11	77094.16	117573.84	179401.88	112675.22	194833.23	96445.516	117195.34	148767.44	99366.95	107326.83	122053.51	185854.02
A0JLT2	MED19	0	61304.445	0	24116.605	0	0	46285.402	31321.168	52376.82	28398.094	59850.44	0	21555.488	0	0	53465.383	35033.55	28428.84	30468.23	35752.027	0	0	0	0	27728.852	34315.227	48732.99	40343.637	43438.836	42798.62	38577.145	32753.057	27968.057	41167.395	16908.621	0	41928.473	47037.574	40675.797	0	39027.78	0	15967.659	16637.19	0	41075.785	43756.65	39989.484	0	38320.984	17962.781	0	12434.241	0
A0JNW5	BLTP3B	59762.58	74593.0	64781.273	90059.85	74602.484	85854.79	20986.072	119342.11	138087.28	58227.688	124943.22	76105.66	113043.97	54188.387	54106.973	102341.78	82819.56	148727.38	52000.004	99133.17	44748.375	104653.375	65314.83	34090.336	61879.527	64093.04	177200.5	0	0	12638.995	7849.236	18896.695	0	0	0	0	0	16381.897	0	0	7265.364	0	0	0	0	0	0	18423.584	0	0	13980.236	0	0	0
A0MZ66	SHTN1	410888.9	421920.8	494787.1	514238.72	504962.1	371981.66	444984.06	469311.0	488440.9	418486.94	469629.6	428017.7	515525.84	469548.0	390559.34	485086.1	524342.56	560314.1	417972.72	481566.28	468832.16	525554.0	487441.53	396355.25	439110.22	456859.03	551612.2	488339.6	485645.4	1166158.9	470210.75	1461839.1	846814.7	512373.22	461019.1	459915.06	1395480.6	1564353.4	514443.94	1262058.1	548030.0	424944.22	876329.0	743858.5	365923.28	560828.8	519216.72	1068478.4	1214375.1	1569930.8	980053.25	436975.97	787144.9	386498.6
A1A4S6	ARHGAP10	56530.887	43693.52	62721.73	51802.75	46008.69	52823.305	40523.734	40667.42	31948.504	55494.3	42825.363	65119.953	54253.65	46762.344	54493.266	39007.844	36549.03	35247.805	56469.81	42040.81	63819.023	59269.234	44859.145	59821.695	36908.688	33755.26	27273.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0T0	ILVBL	264298.22	264943.0	242547.64	239482.22	236205.38	195502.27	259244.3	230708.33	201072.02	277997.47	272004.47	254603.86	197481.31	234756.97	191367.5	295470.0	266978.66	225357.53	277455.25	290522.3	187630.25	198280.53	218007.38	205718.95	276135.03	264017.06	251132.84	231055.17	218139.33	210320.0	228291.72	249520.64	250092.83	278572.7	204547.88	196773.67	223496.73	157018.62	199833.3	195978.4	192952.44	277079.78	264072.66	210614.77	225020.45	215531.64	220376.1	223456.1	200437.81	189013.88	237002.25	234029.44	253140.98	193825.69
A1L170	C1orf226	68231.695	27872.354	56851.867	39774.594	81303.12	50164.547	44998.01	50867.047	15649.337	85253.234	29978.297	31397.086	10459.085	15726.503	34412.99	29636.904	0	20714.674	58194.645	44447.93	12561.854	94484.766	10800.192	6355.4854	0	16364.33	0	52172.703	44710.156	25255.219	59054.734	18212.941	0	21062.83	0	57334.844	48297.18	52251.5	0	12981.09	43666.46	0	0	0	55354.152	30431.557	60969.21	0	31110.807	16546.37	0	0	0	66245.8
A1L390	PLEKHG3	0	0	0	0	7035.1216	0	2308.69	0	0	8267.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30191.545	0	0	0	0	0	0	0	24102.895	0	0	0	0	0	0	0	0	34735.703	0	0	0	0	0
A1XBS5	CIBAR1	0	0	18157.223	0	0	21328.625	0	0	0	0	0	0	0	0	17361.047	0	0	0	0	0	0	0	0	0	0	0	0	0	8041.0044	0	8657.595	0	0	0	0	10684.49	7817.9355	0	0	0	0	0	0	0	10261.011	0	0	0	9424.514	0	0	0	0	22867.57
A2RRP1	NBAS	136076.05	132923.95	158945.42	218156.88	168504.58	166622.45	112939.57	120513.17	97286.3	162741.31	112775.79	187780.11	198642.7	153865.33	154842.19	112378.35	158203.4	128425.22	172580.28	113929.445	158364.5	186924.23	145574.8	144355.39	109162.09	112980.32	108554.766	52994.32	53605.246	52789.613	73515.06	39962.176	97048.22	91253.35	58169.734	104397.36	41004.094	51743.395	58154.023	85455.95	65412.42	88943.74	87135.97	46714.83	67328.06	51072.086	83028.28	58579.734	84002.305	32447.09	78889.26	73280.25	62411.11	84870.33
A2RTX5	TARS3	0	0	0	20703.875	0	0	0	0	7574.0576	0	0	0	15121.152	0	0	0	0	0	0	0	0	13739.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RU67	FAM234B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22306.162	17787.725	19962.662	16161.375	16929.133	61200.85	42508.96	64196.414	17058.543	18811.83	15885.958	18551.105	18669.473	17330.963	51637.75	58221.88	70280.56	17238.76	21338.252	0	18073.242	18437.633	16174.99	63236.883	21060.861	57808.793	11435.834
A2RUB6	CCDC66	54141.805	33892.777	44904.227	41915.797	54375.23	36228.562	18075.66	27972.047	25626.832	46210.637	34412.99	44164.1	41441.69	42203.69	40332.48	14470.652	34855.367	31036.16	40519.324	38207.04	31538.81	31397.996	43296.137	32640.117	23107.736	35375.688	32439.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KMH1	VWA8	6204.6704	14594.243	4676.6387	69025.91	4343.8364	0	0	32891.824	9678.239	3944.819	0	4594.1763	51305.883	23760.246	6509.349	4333.682	3044.5862	2890.1995	37364.848	3019.6277	7433.773	40453.33	5064.3506	5031.0137	20815.846	20348.291	4769.817	0	19224.244	35034.93	21336.115	16238.693	79184.09	33581.203	63817.824	21741.316	0	0	12112.777	20123.564	0	27656.258	0	58316.375	26492.275	0	0	0	0	0	34837.156	28875.469	54352.594	21968.062
A3KN83	SBNO1	146226.3	174478.73	156951.11	220818.56	133356.47	173897.0	130411.766	231182.69	325851.84	167557.31	225309.47	234483.55	232465.06	137128.31	174557.28	191440.9	203235.9	312982.66	235853.33	143758.52	143058.88	291152.12	122995.01	159353.62	226683.39	179005.66	362652.22	0	3482.2107	27144.654	11254.072	35088.54	19913.213	19528.049	15365.531	0	30967.49	30269.078	27799.164	27884.027	5127.8696	23445.209	25598.475	15379.511	0	6477.345	10833.995	24786.533	28367.814	21791.697	23612.37	20114.482	0	0
