PROTID	GENEID	cGFP_6h_BioID_10_1_INT	cGFP_6h_BioID_10_2_INT	cGFP_6h_BioID_10_3_INT	cGFP_6h_BioID_11_1_INT	cGFP_6h_BioID_11_2_INT	cGFP_6h_BioID_11_3_INT	cGFP_6h_BioID_1_1_INT	cGFP_6h_BioID_1_2_INT	cGFP_6h_BioID_1_3_INT	cGFP_6h_BioID_2_1_INT	cGFP_6h_BioID_2_2_INT	cGFP_6h_BioID_2_3_INT	cGFP_6h_BioID_3_1_INT	cGFP_6h_BioID_3_2_INT	cGFP_6h_BioID_3_3_INT	cGFP_6h_BioID_4_1_INT	cGFP_6h_BioID_4_2_INT	cGFP_6h_BioID_4_3_INT	cGFP_6h_BioID_5_1_INT	cGFP_6h_BioID_5_2_INT	cGFP_6h_BioID_5_3_INT	cGFP_6h_BioID_6_1_INT	cGFP_6h_BioID_6_2_INT	cGFP_6h_BioID_6_3_INT	cGFP_6h_BioID_7_1_INT	cGFP_6h_BioID_7_2_INT	cGFP_6h_BioID_7_3_INT	cGFP_6h_BioID_8_1_INT	cGFP_6h_BioID_8_2_INT	cGFP_6h_BioID_8_3_INT	cGFP_6h_BioID_9_1_INT	cGFP_6h_BioID_9_2_INT	cGFP_6h_BioID_9_3_INT
na	na	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_9	cGFP_6h_BioID_9	cGFP_6h_BioID_9
A0A024RBG1	NUDT4B	0	0	0	0	0	0	9240.482	9724.514	8819.621	9912.37	10477.587	8902.042	8410.058	8934.187	9124.142	9908.567	8548.465	10563.463	13761.562	14784.175	15511.309	14802.355	15576.449	16394.59	15622.399	13029.166	15703.095	0	0	0	0	0	0
A0A3B3IU46	RAMACL	142768.1	127620.97	93361.164	89790.03	100508.56	83393.836	71306.945	71676.22	73796.83	0	60385.438	83374.52	38736.45	71063.516	65429.586	33069.402	72492.08	67519.43	60036.184	90723.08	69126.44	74501.26	47691.145	63249.34	56234.633	76917.305	69151.77	90724.67	85091.945	94019.06	46368.64	55216.78	129706.63
A0AV96	RBM47	47285.72	47066.258	33604.89	25116.879	31881.09	32737.21	17786.225	20658.04	20927.578	20778.256	14069.873	21329.785	19292.93	21664.318	14939.076	17431.758	18598.365	8997.437	0	0	0	0	0	0	0	0	0	39897.11	35551.473	31626.098	52761.273	48742.92	72696.55
A0AVF1	IFT56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31675.244	47597.16	52887.203	0	37247.832	39410.79	28233.918	43056.367	43265.68	0	0	0	0	0	0
A0AVK6	E2F8	0	14701.17	0	20643.127	0	0	63327.58	42719.55	45461.957	73884.21	63599.582	43167.062	48055.07	66377.234	50389.86	53857.27	67142.164	77984.2	28756.78	50272.375	50377.04	24464.984	27569.69	22814.775	23304.879	39270.125	27836.291	0	0	17232.033	0	0	20483.236
A0AVT1	UBA6	1276005.1	1434347.6	1156554.9	1310665.2	1219476.9	1243089.4	1130724.8	1139115.1	1093126.8	1028862.94	1059242.4	1058264.2	1007995.4	1057648.5	909033.4	906604.1	806024.56	874434.6	894438.44	831646.5	891009.44	1030273.44	951044.7	891756.0	987115.9	1012593.9	921145.2	1276507.6	1241537.9	1267085.6	1451030.8	1420028.8	1272988.4
A0FGR8	ESYT2	59557.125	63377.234	225766.03	103269.78	231486.17	237573.56	223744.14	215609.44	192699.88	250459.61	266971.75	271082.3	246773.72	257463.88	247334.88	272541.28	236283.97	254887.7	204687.9	366071.12	147366.14	150685.78	160723.52	397261.2	169381.02	208761.56	147049.12	91156.91	336151.94	123028.55	69316.695	236121.2	212768.64
A0JNW5	BLTP3B	122765.82	105162.34	215662.39	133814.67	210261.19	134092.73	300175.56	201041.75	201365.78	320804.5	222553.17	265936.6	247751.53	251112.83	282126.75	224050.33	216959.23	255892.58	258183.75	254905.27	354488.28	435469.0	335152.12	339497.1	263990.34	349273.28	339260.34	106366.44	211319.12	116040.664	179858.89	197677.58	168073.8
A0MZ66	SHTN1	642677.25	639654.94	657399.4	640630.44	667119.2	697327.0	697338.06	653854.44	774984.3	758798.94	696381.9	720200.94	717832.0	674242.44	705702.7	753606.3	745073.9	753193.2	620280.8	704181.44	690143.56	731159.25	765327.44	663912.3	700578.3	700136.94	639055.44	654207.9	724604.25	674029.44	544892.6	559025.44	697650.9
