PROTID	GENEID	cGFP_C1_6h_BioID_1_INT	cGFP_C1_6h_BioID_2_INT	cGFP_C1_6h_BioID_3_INT	cGFP_C2_6h_BioID_1_INT	cGFP_C2_6h_BioID_2_INT	cGFP_C2_6h_BioID_3_INT	cGFP_C3_6h_BioID_1_INT	cGFP_C3_6h_BioID_2_INT	cGFP_C3_6h_BioID_3_INT	cGFP_C4_6h_BioID_1_INT	cGFP_C4_6h_BioID_2_INT	cGFP_C4_6h_BioID_3_INT	cGFP_C5_6h_BioID_1_INT	cGFP_C5_6h_BioID_2_INT	cGFP_C5_6h_BioID_3_INT	cGFP_N1_6h_BioID_1_INT	cGFP_N1_6h_BioID_2_INT	cGFP_N1_6h_BioID_3_INT	cGFP_N2_6h_BioID_1_INT	cGFP_N2_6h_BioID_2_INT	cGFP_N2_6h_BioID_3_INT	cGFP_N3_6h_BioID_1_INT	cGFP_N3_6h_BioID_2_INT	cGFP_N3_6h_BioID_3_INT	cGFP_N4_6h_BioID_1_INT	cGFP_N4_6h_BioID_2_INT	cGFP_N4_6h_BioID_3_INT
na	na	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID
A0A024RBG1	NUDT4B	0	12391.624	0	0	0	0	0	0	0	0	14475.797	0	0	0	3978.4163	0	0	0	0	0	0	0	0	0	0	0	0
A0A0B4J2D5	GATD3B	0	0	0	0	0	0	0	0	0	0	66866.02	0	11128.001	0	7557.8867	27164.797	0	7443.7676	0	0	0	0	0	0	75012.95	22908.238	0
A0A3B3IU46	RAMACL	36369.457	37237.844	36485.938	54964.23	99043.16	37312.27	53212.38	30583.002	69193.21	0	37241.51	0	26800.861	23480.176	17307.934	0	0	0	0	0	0	0	0	0	0	0	0
A0A804HLA8	GNG5B	0	0	0	0	0	16026.922	8657.04	16215.018	0	0	16359.15	0	0	8063.692	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AV96	RBM47	47876.11	31126.111	42908.402	28518.988	15450.726	47805.37	28671.355	30330.068	28242.291	12869.8125	0	0	0	0	11901.824	0	0	0	0	0	0	0	0	0	0	0	0
A0AVF1	IFT56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16187.334	13593.506	12998.056	44781.883	27585.342	24730.934	24183.37	47327.785	18836.09	30807.777	44407.668	23629.549
A0AVK6	E2F8	41922.902	14958.137	14481.611	48903.703	47124.207	28048.61	24241.527	23606.629	30586.941	14666.069	0	16377.38	15412.824	20997.59	0	20908.736	21736.049	21789.56	26735.672	23476.293	22940.03	17710.248	20016.01	17468.191	19913.72	0	17943.03
A0AVT1	UBA6	627861.1	655647.94	687472.56	379771.0	372210.25	633387.44	466701.5	625648.75	508614.97	616575.9	553578.6	567169.7	664958.5	710502.7	678106.56	162540.03	199884.64	208060.38	326350.22	254234.19	138395.81	160308.27	156178.7	267291.34	215468.72	216508.11	334787.84
A0FGR8	ESYT2	31458.852	100536.33	110766.59	70698.99	117328.66	242430.92	226048.83	130093.41	188879.86	110218.875	27980.271	124612.664	82857.305	75390.08	115858.836	325554.9	319231.0	363893.12	507669.56	447794.7	553066.8	351615.84	334280.5	371894.34	305016.56	361036.5	320287.7
A0JLT2	MED19	0	0	0	49239.652	40190.184	28346.605	31074.045	26910.07	49353.18	0	0	6552.45	0	0	0	0	0	0	21820.84	20798.422	14979.617	17263.771	0	0	0	0	11194.945
A0JNW5	BLTP3B	87496.93	100712.03	102184.375	53758.098	66339.12	143854.83	79493.53	98282.5	92408.57	151812.95	157073.02	168774.8	145902.81	105529.86	158714.69	250613.81	328644.6	402812.28	359077.38	231098.5	306315.2	282322.56	336734.2	297941.7	123117.06	213933.5	215241.42
A0MZ66	SHTN1	539684.7	579352.8	562121.6	291804.97	315485.88	548979.2	362551.25	551642.4	364826.8	557678.1	567387.25	578240.75	618219.0	528411.94	581895.7	492852.1	414542.12	987998.4	1630988.4	1553108.6	1588949.1	1425179.5	1627513.4	1312373.1	1328286.0	1342332.4	1621404.8
A1A4S6	ARHGAP10	100836.93	94570.164	132142.19	27925.656	29588.707	136242.75	61826.266	85184.266	58552.566	118153.03	102667.766	142461.61	148452.92	85940.24	157522.38	13975.836	40060.46	15128.752	8693.537	10139.343	8746.293	0	0	0	0	0	0
A1IGU5	ARHGEF37	0	10533.069	10019.64	0	0	12044.503	4446.9746	10436.469	3507.5288	8356.22	0	6825.5327	9023.521	0	9549.572	0	0	0	0	0	0	0	0	0	0	0	0
A1L020	MEX3A	0	0	0	0	0	0	0	0	0	17991.455	19629.16	18509.537	20059.53	21238.627	19676.84	17811.809	0	23869.404	26093.451	34260.383	19304.754	56115.66	42766.984	38551.38	62317.668	57253.516	61327.664
A1L0T0	ILVBL	34667.09	14524.102	41522.473	54328.39	38487.016	36080.715	56260.227	49874.57	71220.08	40142.46	43548.15	52548.93	30632.262	37033.555	29892.918	229997.4	218459.62	242296.45	261614.53	284092.53	273599.66	192632.44	222179.36	168057.88	252013.5	179388.05	228621.28
A1L170	C1orf226	8338.731	0	0	0	0	10093.52	6441.438	9901.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L390	PLEKHG3	17464.023	0	21291.06	9963.644	0	17028.94	14625.457	17630.361	14590.309	15446.656	13939.19	16199.132	17976.904	17829.113	0	37070.316	18715.6	40088.67	38811.293	33901.41	39790.32	10293.648	8136.36	7301.2886	9260.882	9777.08	0
A1X283	SH3PXD2B	153429.58	167924.17	154840.83	98803.18	87327.96	176025.2	119634.95	174543.77	141419.97	66057.06	76465.72	103763.375	130593.96	98213.45	100276.26	51722.94	69815.484	92244.836	23979.44	53142.613	41877.07	0	40080.094	25829.283	44092.64	24309.969	69849.7
A1XBS5	CIBAR1	0	0	0	10291.478	36188.324	16082.565	64176.74	46864.926	45670.445	21699.373	20443.828	22173.29	0	0	0	7985.404	20027.016	10867.678	0	6054.5317	7529.14	0	0	0	0	0	0
A2RRD8	ZNF320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3459.186	0	0	0	7078.109	0	0	0	0	0	0	0
A2RRP1	NBAS	11634.142	10610.485	14467.341	0	0	12342.602	10864.946	29434.14	0	0	49102.305	0	0	53478.41	50962.03	49204.688	44354.14	53453.88	45115.547	56580.965	56741.164	41659.18	50544.258	32468.764	35762.406	39717.176	36691.082
A2RTX5	TARS3	0	8140.092	0	0	6774.0996	9158.165	0	8681.338	5283.1035	11746.725	14044.739	10149.336	15990.345	14720.16	12287.159	0	0	0	0	0	0	0	0	0	0	0	0
A2RUB6	CCDC66	27252.14	26726.771	31353.678	20395.402	28933.53	20131.9	30400.445	28894.37	31265.596	17671.05	10546.525	40563.445	26772.02	49329.383	25580.14	18506.818	17821.848	17638.826	28915.098	0	28871.205	0	0	0	0	0	0
A2VDJ0	TMEM131L	10668.028	0	16950.4	0	0	0	0	18179.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KMH1	VWA8	67257.91	89942.086	90486.2	132161.56	125459.09	99123.88	122497.38	104489.75	139873.66	50186.14	91663.766	52854.465	73975.734	59785.453	56383.176	60267.832	41551.227	27268.023	88953.0	94733.55	65121.117	0	37511.586	46743.355	10850.573	38534.83	0
A3KN83	SBNO1	389881.2	437300.94	368282.66	825021.56	792491.25	391708.4	623513.75	401836.4	595497.6	249230.2	217542.98	282700.78	246333.5	217564.23	210125.34	302099.75	309249.3	293976.66	426727.0	425533.22	404188.62	246104.58	164602.16	196411.81	152513.12	188265.62	196452.83
