Bait	Bait ID	Organelle
TBG1	P23258	Centrosome
H31	P68431	Chromatin
GOGA2	Q08379	Golgi 
EEA1	Q15075	Endosome 
CALX	P27824	Endoplasmic Reticulum 
HSP7C	P11142	Exosomes
RAB9A	P51151	Endosome
LAMP1	P11279	Lysosome
TBA1A	Q71U36	Microtubule
AIFM1C	O95831	Mitochondria 
LMNA	P02545	Nuclear Envelope
FBRL	P22087	Nucleolus
CATA	P04040	Peroxisome
EZR	P15311	Plasma Membrane 
PSA1	P25786	Proteasome
RAB11A	P62491	Endosome
TGOLN2	O43493	Golgi
TJP2	Q9UDY2	Cell junction
CCDC14	Q49A88	centrosome
DCTN2	Q13561	centrosome
PAFAH1B1	P43034	centrosome
RPN1	P04843	endoplasmic reticulum
PDIA4	P13667	endoplasmic reticulum
ANKFY1	Q9P2R3	endosome
ZFPL1	O95159	Golgi
KRT18	P05783	Intermediate filaments
KRT19	P08727	Intermediate filaments
KRT8	P05787	Intermediate filaments
LAMP2	P13473	lysosome 
CAMSAP2	Q08AD1	Microtubule
TUBA4A	P68366	Microtubule
TUBB	P07437	Microtubule
LMNB1	P20700	Nuclear envelope
NIFK	Q9BYG3	Nucleolus
NOP56	O00567	Nucleolus
HNRNPA1	P09651	Nucleoplasm
PARP1	P09874	Nucleoplasm
AGPS	O00116	peroxisome
PEX3	P56589	Peroxisome
ANK3	Q12955	plasma membrane
STX4	Q12846	plasma membrane
LCK	P06239	plasma membrane
ACTB	P60709	actin cytoskeleton
SEPT9	Q9UHD8	actin cytoskeleton
ACTR2	P61160	actin cytoskeleton
