Bait	Prey	AvgSpec
SEPT9	Q9P0K7	85
SEPT9	A8K3D0	74
SEPT9	O14641	59
SEPT9	O95613	24
SEPT9	P35580	23
SEPT9	Q14126	21
SEPT9	Q96R06	20.5
SEPT9	Q9NVA2	18
SEPT9	Q14141	16
SEPT9	O60884	13.5
SEPT9	Q15019	13
SEPT9	Q8TDM6	13
SEPT9	Q63ZY3	11
SEPT9	Q9Y2Z0	11
SEPT9	P62195	6.5
SEPT9	Q9H425	6.5
SEPT9	Q5VT25	6
SEPT9	Q9HCK3	5.5
SEPT9	Q9P0V9	5.5
SEPT9	P62244	5
SEPT9	Q5VVD0	5
SEPT9	Q9BRX2	4.5
SEPT9	Q9H3Q1	4.5
SEPT9	O76041	4
SEPT9	Q3B7A2	4
SEPT9	Q9Y5X1	4
SEPT9	P43686	3.5
SEPT9	Q5VT06	3.5
SEPT9	Q96LB3	3.5
SEPT9	Q9BYJ9	3.5
SEPT9	Q9UNF1	3.5
SEPT9	Q9UPS8	3.5
SEPT9	V9HW72	3.5
SEPT9	Q8WWI1	2.5
SEPT9	O14524	2
SEPT9	P22392	2
SEPT9	P55884	2
SEPT9	Q5M775	2
SEPT9	Q8IWR0	2
SEPT9	Q9UPN7	2
ACTB	Q9Y5K6	136.5
ACTB	Q53HG7	108.5
ACTB	Q9UHB6	103
ACTB	P68032	101.5
ACTB	Q05682	78
ACTB	Q86V48	75
ACTB	Q6MZU1	73.5
ACTB	Q8N8S7	66.5
ACTB	Q01518	63
ACTB	Q569J5	61
ACTB	O43707	58
ACTB	P37802	55
ACTB	Q9ULV4	51.5
ACTB	Q9BY89	48
ACTB	Q562R1	44
ACTB	A0MZ66	39.5
ACTB	Q16643	39
ACTB	Q8IZ21	36.5
ACTB	Q96JH7	34.5
ACTB	Q9UJU6	34.5
ACTB	P35611	34
ACTB	Q6P0Q7	34
ACTB	Q13625	33.5
ACTB	Q15417	33
ACTB	Q70E73	32.5
ACTB	Q96HC4	32
