Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q96RP9	reviewed	EFGM_HUMAN	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1) (hEFG1)	GFM1 EFG EFG1 GFM	Homo sapiens (Human)	751	GFM1
P07242	reviewed	PG110_VACCW	Late transcription elongation factor OPG110 (Viral late gene transcription factor 4) (VLTF-4)	OPG110 VACWR103 H5R	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	203	OPG110
P57772	reviewed	SELB_HUMAN	Selenocysteine-specific elongation factor (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)	EEFSEC SELB	Homo sapiens (Human)	596	EEFSEC
Q7Z2Z2	reviewed	EFL1_HUMAN	Elongation factor-like GTPase 1 (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)	EFL1 EFTUD1 FAM42A	Homo sapiens (Human)	1120	EFL1
P13639	reviewed	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)	858	EEF2
P49411	reviewed	EFTU_HUMAN	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	455	TUFM
P68104	reviewed	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	462	EEF1A1
P23193	reviewed	TCEA1_HUMAN	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	Homo sapiens (Human)	301	TCEA1
P16521	reviewed	EF3A_YEAST	Elongation factor 3A (EF-3) (EF-3A) (EC 3.6.4.-) (Eukaryotic elongation factor 3) (eEF3) (Translation elongation factor 3A) (Yeast elongation factor 3)	YEF3 EFC1 TEF3 YEF3A YLR249W L9672.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1044	YEF3
P43897	reviewed	EFTS_HUMAN	Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)	TSFM	Homo sapiens (Human)	325	TSFM
P24534	reviewed	EF1B_HUMAN	Elongation factor 1-beta (EF-1-beta)	EEF1B2 EEF1B EF1B	Homo sapiens (Human)	225	EEF1B2
Q05639	reviewed	EF1A2_HUMAN	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)	EEF1A2 EEF1AL STN	Homo sapiens (Human)	463	EEF1A2
Q96QE5	reviewed	TEFM_HUMAN	Transcription elongation factor, mitochondrial	TEFM C17orf42	Homo sapiens (Human)	360	TEFM
P32471	reviewed	EF1B_YEAST	Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)	EFB1 TEF5 YAL003W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	EFB1
Q15560	reviewed	TCEA2_HUMAN	Transcription elongation factor A protein 2 (Testis-specific S-II) (Transcription elongation factor S-II protein 2) (Transcription elongation factor TFIIS.l)	TCEA2	Homo sapiens (Human)	299	TCEA2
P32324	reviewed	EF2_YEAST	Elongation factor 2 (EF-2) (EC 3.6.5.-) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2)	EFT1 YOR133W O3317 YOR3317W; EFT2 YDR385W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	842	EFT1; EFT2
P02994	reviewed	EF1A_YEAST	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458	TEF1; TEF2
P32914	reviewed	SPT4_YEAST	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)	SPT4 YGR063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	SPT4
Q9JHW4	reviewed	SELB_MOUSE	Selenocysteine-specific elongation factor (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific) (mSelB)	Eefsec Selb	Mus musculus (Mouse)	583	Eefsec
P58252	reviewed	EF2_MOUSE	Elongation factor 2 (EF-2) (EC 3.6.5.-)	Eef2	Mus musculus (Mouse)	858	Eef2
Q3SYU2	reviewed	EF2_BOVIN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2	Bos taurus (Bovine)	858	EEF2
Q969S9	reviewed	RRF2M_HUMAN	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (EC 3.6.5.-) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2) (Elongation factor G2) (hEFG2)	GFM2 EFG2 MSTP027	Homo sapiens (Human)	779	GFM2
P05197	reviewed	EF2_RAT	Elongation factor 2 (EF-2) (EC 3.6.5.-)	Eef2	Rattus norvegicus (Rat)	858	Eef2
O00472	reviewed	ELL2_HUMAN	RNA polymerase II elongation factor ELL2	ELL2	Homo sapiens (Human)	640	ELL2
Q9HB65	reviewed	ELL3_HUMAN	RNA polymerase II elongation factor ELL3	ELL3	Homo sapiens (Human)	397	ELL3
P10126	reviewed	EF1A1_MOUSE	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	Eef1a1 Eef1a	Mus musculus (Mouse)	462	Eef1a1
P62630	reviewed	EF1A1_RAT	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	Eef1a1 Eef1a	Rattus norvegicus (Rat)	462	Eef1a1
P26641	reviewed	EF1G_HUMAN	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G EF1G PRO1608	Homo sapiens (Human)	437	EEF1G
P68103	reviewed	EF1A1_BOVIN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	EEF1A1 EEF1A EF1A	Bos taurus (Bovine)	462	EEF1A1
P29692	reviewed	EF1D_HUMAN	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D EF1D	Homo sapiens (Human)	281	EEF1D
P53978	reviewed	EF3B_YEAST	Elongation factor 3B (EF-3B) (EC 3.6.4.-) (Homolog of EF-3) (Translation elongation factor 3B)	HEF3 YEF3B ZRG7 YNL014W N2846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1044	HEF3
