Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q9NX04	reviewed	AIRIM_HUMAN	AFG2-interacting ribosome maturation factor (Ribosome biogenesis protein C1orf109)	AIRIM C1orf109	Homo sapiens (Human)	203	AIRIM
Q96E11	reviewed	RRFM_HUMAN	Ribosome-recycling factor, mitochondrial (RRF) (mtRRF) (Ribosome-releasing factor, mitochondrial)	MRRF	Homo sapiens (Human)	262	MRRF
Q14692	reviewed	BMS1_HUMAN	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	BMS1 BMS1L KIAA0187	Homo sapiens (Human)	1282	BMS1
Q9P2E9	reviewed	RRBP1_HUMAN	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	RRBP1 KIAA1398	Homo sapiens (Human)	1410	RRBP1
Q15050	reviewed	RRS1_HUMAN	Ribosome biogenesis regulatory protein homolog	RRS1 KIAA0112 RRR	Homo sapiens (Human)	365	RRS1
Q8N0V3	reviewed	RBFA_HUMAN	Putative ribosome-binding factor A, mitochondrial	RBFA C18orf22	Homo sapiens (Human)	343	RBFA
Q9H7B2	reviewed	RPF2_HUMAN	Ribosome production factor 2 homolog (Brix domain-containing protein 1) (Ribosome biogenesis protein RPF2 homolog)	RPF2 BXDC1	Homo sapiens (Human)	306	RPF2
Q14137	reviewed	BOP1_HUMAN	Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein)	BOP1 KIAA0124	Homo sapiens (Human)	746	BOP1
Q9GZL7	reviewed	WDR12_HUMAN	Ribosome biogenesis protein WDR12 (WD repeat-containing protein 12)	WDR12	Homo sapiens (Human)	423	WDR12
Q9Y3A5	reviewed	SBDS_HUMAN	Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein)	SBDS CGI-97	Homo sapiens (Human)	250	SBDS
Q9Y6X1	reviewed	SERP1_HUMAN	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)	SERP1 RAMP4	Homo sapiens (Human)	66	SERP1
