Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
A0A024B7W1	reviewed	POLG_ZIKVF	Genome polyprotein [Cleaved into: Capsid protein C (Capsid protein) (Core protein); Protein prM (Precursor membrane protein); Peptide pr (Peptide precursor); Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (NS5)]		Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)	3423		2043570
A0A0G2JZ79	reviewed	SIR1_RAT	NAD-dependent protein deacetylase sirtuin-1 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-)	Sirt1	Rattus norvegicus (Rat)	555	Sirt1	10116
A0A0G2QC33	reviewed	ATG4B_RAT	Cysteine protease ATG4B (EC 3.4.22.-) (Autophagy-related protein 4 homolog B)	Atg4b	Rattus norvegicus (Rat)	393	Atg4b	10116
A0A0R4IBK5	reviewed	R213A_DANRE	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha)	rnf213a	Danio rerio (Zebrafish) (Brachydanio rerio)	5209	rnf213a	7955
A0A142I5B9	reviewed	POLG_ZIKVK	Genome polyprotein [Cleaved into: Capsid protein C (Capsid protein) (Core protein); Protein prM (Precursor membrane protein); Peptide pr (Peptide precursor); Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (NS5)]		Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010) (ZIKV)	3423		2316109
A0A1L8G2K9	reviewed	SPRTN_XENLA	DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (Protein with SprT-like domain at the N terminus) (Spartan)	sprtn XELAEV_18029135mg	Xenopus laevis (African clawed frog)	565	sprtn	8355
A0A250YGJ5	reviewed	SIR6_CASCN	NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	SIRT6	Castor canadensis (American beaver)	355	SIRT6	51338
A0A287B8J2	reviewed	DCTN1_PIG	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (p150-glued)	DCTN1	Sus scrofa (Pig)	1281	DCTN1	9823
A0A2K5TU92	reviewed	SIR6_MACFA	NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	SIRT6	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	355	SIRT6	9541
A0A2R8Q1W5	reviewed	KEP1B_DANRE	Kelch-like ECH-associated protein 1B	keap1b	Danio rerio (Zebrafish) (Brachydanio rerio)	587	keap1b	7955
