PROTID	GENEID	PROTLEN	cGFP_C1_6h_BioID_1_SPC	cGFP_C1_6h_BioID_2_SPC	cGFP_C1_6h_BioID_3_SPC	cGFP_C2_6h_BioID_1_SPC	cGFP_C2_6h_BioID_2_SPC	cGFP_C2_6h_BioID_3_SPC	cGFP_C3_6h_BioID_1_SPC	cGFP_C3_6h_BioID_2_SPC	cGFP_C3_6h_BioID_3_SPC	cGFP_C4_6h_BioID_1_SPC	cGFP_C4_6h_BioID_2_SPC	cGFP_C4_6h_BioID_3_SPC	cGFP_C5_6h_BioID_1_SPC	cGFP_C5_6h_BioID_2_SPC	cGFP_C5_6h_BioID_3_SPC	cGFP_N1_6h_BioID_1_SPC	cGFP_N1_6h_BioID_2_SPC	cGFP_N1_6h_BioID_3_SPC	cGFP_N2_6h_BioID_1_SPC	cGFP_N2_6h_BioID_2_SPC	cGFP_N2_6h_BioID_3_SPC	cGFP_N3_6h_BioID_1_SPC	cGFP_N3_6h_BioID_2_SPC	cGFP_N3_6h_BioID_3_SPC	cGFP_N4_6h_BioID_1_SPC	cGFP_N4_6h_BioID_2_SPC	cGFP_N4_6h_BioID_3_SPC
na	na	na	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID
A0A024RBG1	NUDT4B	181	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0B4J2D5	GATD3B	268	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
A0A1B0GTR4	SPRR5	108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A3B3IU46	RAMACL	118	1	1	1	2	3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A804HLA8	GNG5B	68	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AV96	RBM47	593	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0AVF1	IFT56	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	1	1	3	6	3	2	4	2
A0AVK6	E2F8	867	2	1	2	6	4	2	2	3	2	1	0	2	0	0	0	2	1	1	1	3	2	1	2	0	1	0	1
A0AVT1	UBA6	1052	22	21	22	17	13	27	18	23	20	26	18	18	23	33	26	10	9	7	9	4	6	8	3	6	10	11	7
A0FGR8	ESYT2	921	1	3	3	2	2	7	7	3	6	6	2	5	2	3	4	12	16	14	19	12	20	13	18	11	7	14	14
A0JLT2	MED19	244	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A0JNW5	BLTP3B	1464	1	3	3	1	3	5	4	2	4	7	7	9	7	4	8	10	10	11	9	5	8	3	7	3	5	4	5
A0MZ66	SHTN1	631	23	22	19	12	15	20	13	18	12	18	27	23	27	17	24	15	14	15	4	5	7	7	8	9	14	11	10
A1A4S6	ARHGAP10	786	4	5	6	2	1	4	3	3	3	5	5	6	9	5	6	2	3	1	1	0	0	0	0	0	0	0	0
A1IGU5	ARHGEF37	675	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L020	MEX3A	520	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	1
A1L0T0	ILVBL	632	0	1	0	3	1	3	3	0	6	6	5	6	4	2	7	10	11	11	10	12	9	13	7	9	11	6	11
A1L170	C1orf226	272	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L390	PLEKHG3	1219	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0
A1X283	SH3PXD2B	911	3	4	3	0	1	5	3	5	6	2	1	1	2	2	6	1	2	2	1	2	1	0	2	0	3	1	4
A1XBS5	CIBAR1	289	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
A2RRD8	ZNF320	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2RRP1	NBAS	2371	1	2	1	0	0	0	1	1	1	0	1	0	0	1	1	2	1	6	1	2	1	0	0	1	0	0	0
A2RTX5	TARS3	802	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RUB6	CCDC66	948	1	3	1	0	0	0	0	0	0	0	0	1	1	1	1	1	5	1	1	0	0	0	1	0	0	0	0
A2VDJ0	TMEM131L	1609	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KMH1	VWA8	1905	1	0	1	0	0	2	1	0	0	2	3	0	0	0	1	3	2	1	1	2	0	0	1	2	0	2	0
A3KN83	SBNO1	1393	15	22	16	39	32	14	31	17	28	12	8	12	13	9	10	17	16	9	14	13	14	4	6	6	6	13	8
A4D161	FAM221A	298	14	13	17	15	13	19	19	17	16	15	15	12	14	15	15	11	10	10	6	5	6	4	5	4	9	7	7
A4D1P6	WDR91	747	2	1	1	0	0	2	1	1	0	3	1	1	3	1	1	1	1	0	0	0	0	1	1	0	2	2	0
