PROTID	GENEID	PROTLEN	AP_GFP_C_1_S2-A2_1_6530_SPC	AP_GFP_C_2_S2-A3_1_6531_SPC	AP_GFP_C_3_S2-A4_1_6532_SPC	AP_GFP_MED_NLS_1_S2-B2_1_6542_SPC	AP_GFP_MED_NLS_2_S2-B3_1_6543_SPC	AP_GFP_MED_NLS_3_S2-B4_1_6544_SPC	AP_GFP_MYC_NLS_1_S2-B6_1_6546_SPC	AP_GFP_MYC_NLS_2_S2-B7_1_6547_SPC	AP_GFP_MYC_NLS_3_S2-B8_1_6548_SPC	AP_GFP_NLS1_1_S2-A10_1_6538_SPC	AP_GFP_NLS1_2_S2-A11_1_6539_SPC	AP_GFP_NLS1_3_S2-A12_1_6540_SPC	AP_GFP_N_1_S2-A6_1_6534_SPC	AP_GFP_N_2_S2-A7_1_6535_SPC	AP_GFP_N_3_S2-A8_1_6536_SPC	AP_gfp-nls_1_S2-A7_1_4617_SPC	AP_gfp-nls_1_S2-A8_1_4618_SPC	GFP1a_Rita_AP_S1-A1_1_1425_SPC	GFP1b_Rita_AP_S1-A2_1_1426_SPC	GFP_AP1_S3-B5_1_1170_SPC	GFP_AP2_S3-B6_1_1171_SPC	GFP_AP3_S3-B7_1_1172_SPC	GFP_AP_1_S1-A8_1_4038_SPC	GFP_AP_2_S1-A9_1_4039_SPC	GFP_C_1_AP_S1-A5_1_6779_SPC	GFP_C_2_AP_S1-A6_1_6780_SPC	GFP_C_AP_1_S2-B2_1_4529_SPC	GFP_C_AP_2_S2-B3_1_4530_SPC	GFP_C_AP_3_S2-B4_1_4531_SPC	GFP_N_1_AP_S1-A8_1_6782_SPC	GFP_N_2_AP_S1-A9_1_6783_SPC	MAC2_C_GFP1_S3-A1_1_3574_SPC	MAC2_C_GFP2_S3-A2_1_3575_SPC	MAC2_C_GFP3_S3-A3_1_3576_SPC	MAC2_C_GFP4_S3-A4_1_3577_SPC	MAC2_C_GFP5_S3-A5_1_3578_SPC	MAC2_C_GFP6_S3-A6_1_3579_SPC	MAC2_C_GFP7_S3-A7_1_3580_SPC	MAC2_C_GFP8_S3-A8_1_3581_SPC	MAC2_N_GFP1_S3-B1_1_3583_SPC	MAC2_N_GFP2_S3-B2_1_3584_SPC	MAC2_N_GFP3_S3-B3_1_3585_SPC	MAC2_N_GFP4_S3-B4_1_3586_SPC	MAC2_N_GFP5_S3-B5_1_3587_SPC	MAC2_N_GFP6_S3-B6_1_3588_SPC	MAC2_N_GFP7_S3-B7_1_3589_SPC	MAC2_N_GFP8_S3-B8_1_3590_SPC	MAC_C_GFP1_S3-A1_1_3646_SPC	MAC_C_GFP2_S3-A2_1_3647_SPC	MAC_C_GFP3_S3-A3_1_3648_SPC	MAC_C_GFP4_S3-A4_1_3649_SPC	MAC_C_GFP5_S3-A5_1_3650_SPC	MAC_C_GFP6_S3-A6_1_3651_SPC	MAC_C_GFP7_S3-A7_1_3652_SPC	MAC_C_GFP8_S3-A8_1_3653_SPC	MAC_N_GFP1_S3-C1_1_3664_SPC	MAC_N_GFP2_S3-C2_1_3665_SPC	MAC_N_GFP3_S3-C3_1_3666_SPC	MAC_N_GFP4_S3-C4_1_3667_SPC	MAC_N_GFP5_S3-C5_1_3668_SPC	MAC_N_GFP6_S3-C6_1_3669_SPC	MAC_N_GFP7_S3-C7_1_3670_SPC	MAC_N_GFP8_S3-C8_1_3671_SPC	MED_1_AP_S1-A11_1_6785_SPC	MED_2_AP_S1-A12_1_6786_SPC	MYC_1_AP_S1-B2_1_6788_SPC	MYC_2_AP_S1-B3_1_6789_SPC	NLS1_1_AP_S1-A2_1_6776_SPC	NLS1_2_AP_S1-A3_1_6777_SPC	SUC_N_GFP1_S3-D1_1_3601_SPC	SUC_N_GFP2_S3-D2_1_3602_SPC	SUC_N_GFP3_S3-D3_1_3603_SPC	SUC_N_GFP4_S3-D4_1_3604_SPC	SUC_N_GFP5_S3-D5_1_3605_SPC	SUC_N_GFP6_S3-D6_1_3606_SPC	SUC_N_GFP7_S3-D7_1_3607_SPC	SUC_N_GFP8_S3-D8_1_3608_SPC
na	na	na	AP_GFP_C_1_S2-A2_1	AP_GFP_C_2_S2-A3_1	AP_GFP_C_3_S2-A4_1	AP_GFP_MED_NLS_1_S2-B2_1	AP_GFP_MED_NLS_2_S2-B3_1	AP_GFP_MED_NLS_3_S2-B4_1	AP_GFP_MYC_NLS_1_S2-B6_1	AP_GFP_MYC_NLS_2_S2-B7_1	AP_GFP_MYC_NLS_3_S2-B8_1	AP_GFP_NLS1_1_S2-A10_1	AP_GFP_NLS1_2_S2-A11_1	AP_GFP_NLS1_3_S2-A12_1	AP_GFP_N_1_S2-A6_1	AP_GFP_N_2_S2-A7_1	AP_GFP_N_3_S2-A8_1	AP_gfp-nls_1_S2-A7_1	AP_gfp-nls_1_S2-A8_1	GFP1a_Rita_AP_S1-A1_1	GFP1b_Rita_AP_S1-A2_1	GFP_AP1_S3-B5_1	GFP_AP2_S3-B6_1	GFP_AP3_S3-B7_1	GFP_AP_1_S1-A8_1	GFP_AP_2_S1-A9_1	GFP_C_1_AP_S1-A5_1	GFP_C_2_AP_S1-A6_1	GFP_C_AP_1_S2-B2_1	GFP_C_AP_2_S2-B3_1	GFP_C_AP_3_S2-B4_1	GFP_N_1_AP_S1-A8_1	GFP_N_2_AP_S1-A9_1	MAC2_C_GFP1_S3-A1_1	MAC2_C_GFP2_S3-A2_1	MAC2_C_GFP3_S3-A3_1	MAC2_C_GFP4_S3-A4_1	MAC2_C_GFP5_S3-A5_1	MAC2_C_GFP6_S3-A6_1	MAC2_C_GFP7_S3-A7_1	MAC2_C_GFP8_S3-A8_1	MAC2_N_GFP1_S3-B1_1	MAC2_N_GFP2_S3-B2_1	MAC2_N_GFP3_S3-B3_1	MAC2_N_GFP4_S3-B4_1	MAC2_N_GFP5_S3-B5_1	MAC2_N_GFP6_S3-B6_1	MAC2_N_GFP7_S3-B7_1	MAC2_N_GFP8_S3-B8_1	MAC_C_GFP1_S3-A1_1	MAC_C_GFP2_S3-A2_1	MAC_C_GFP3_S3-A3_1	MAC_C_GFP4_S3-A4_1	MAC_C_GFP5_S3-A5_1	MAC_C_GFP6_S3-A6_1	MAC_C_GFP7_S3-A7_1	MAC_C_GFP8_S3-A8_1	MAC_N_GFP1_S3-C1_1	MAC_N_GFP2_S3-C2_1	MAC_N_GFP3_S3-C3_1	MAC_N_GFP4_S3-C4_1	MAC_N_GFP5_S3-C5_1	MAC_N_GFP6_S3-C6_1	MAC_N_GFP7_S3-C7_1	MAC_N_GFP8_S3-C8_1	MED_1_AP_S1-A11_1	MED_2_AP_S1-A12_1	MYC_1_AP_S1-B2_1	MYC_2_AP_S1-B3_1	NLS1_1_AP_S1-A2_1	NLS1_2_AP_S1-A3_1	SUC_N_GFP1_S3-D1_1	SUC_N_GFP2_S3-D2_1	SUC_N_GFP3_S3-D3_1	SUC_N_GFP4_S3-D4_1	SUC_N_GFP5_S3-D5_1	SUC_N_GFP6_S3-D6_1	SUC_N_GFP7_S3-D7_1	SUC_N_GFP8_S3-D8_1
BirA		320	1302	1342	1395	1089	1181	1075	1297	1309	1299	1380	1343	1442	1058	1047	997	326	191	902	967	878	840	842	1230	1224	1098	1172	1008	475	327	870	872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	946	975	1018	1000	943	981	976	607	644	674	744	723	732	752	769	990	890	964	931	1073	1089	0	0	0	0	0	0	0	0
SH-TAG		59	101	84	103	68	74	59	207	157	109	183	196	178	136	108	101	14	11	33	39	67	51	70	81	64	75	73	63	54	41	71	70	149	150	144	170	139	155	148	139	95	108	122	112	118	116	117	142	53	54	56	73	60	58	67	56	61	51	60	52	60	64	63	61	26	31	57	72	72	47	62	50	86	59	57	76	65	52
P00004	CYCS	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00698	LYZ	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00711	LALBA	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00722	lacZ	1024	13	8	5	0	0	0	9	17	16	1	2	3	8	4	4	0	0	0	0	0	0	0	7	4	0	1	0	0	0	0	0	1	3	1	4	1	2	2	2	1	0	1	0	0	0	0	1	0	0	4	4	3	3	3	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	1	2	2	1
P00761		231	48	37	54	68	62	88	60	69	59	41	54	60	56	63	56	77	85	42	42	52	53	50	75	81	73	73	91	93	62	91	69	94	82	88	89	81	87	82	91	82	94	87	92	95	100	99	80	45	52	51	51	53	46	54	52	126	108	106	112	129	133	114	129	90	75	85	85	92	73	99	105	92	90	98	89	88	108
P01012	SERPINB14	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02534		412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
