Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q9UJT1	reviewed	TBD_HUMAN	Tubulin delta chain (Delta-tubulin)	TUBD1 TUBD	Homo sapiens (Human)	453	TUBD1
P68366	reviewed	TBA4A_HUMAN	Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448	TUBA4A
P0DPH7	reviewed	TBA3C_HUMAN	Tubulin alpha-3C chain (EC 3.6.5.-) (Alpha-tubulin 2) (Alpha-tubulin 3C) (Tubulin alpha-2 chain) [Cleaved into: Detyrosinated tubulin alpha-3C chain]	TUBA3C TUBA2	Homo sapiens (Human)	450	TUBA3C
P68363	reviewed	TBA1B_HUMAN	Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	Homo sapiens (Human)	451	TUBA1B
Q13509	reviewed	TBB3_HUMAN	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3 TUBB4	Homo sapiens (Human)	450	TUBB3
Q71U36	reviewed	TBA1A_HUMAN	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	TUBA1A TUBA3	Homo sapiens (Human)	451	TUBA1A
P04350	reviewed	TBB4A_HUMAN	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	Homo sapiens (Human)	444	TUBB4A
Q9BQE3	reviewed	TBA1C_HUMAN	Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	TUBA1C TUBA6	Homo sapiens (Human)	449	TUBA1C
Q9NY65	reviewed	TBA8_HUMAN	Tubulin alpha-8 chain (EC 3.6.5.-) (Alpha-tubulin 8) (Tubulin alpha chain-like 2) [Cleaved into: Dephenylalaninated tubulin alpha-8 chain]	TUBA8 TUBAL2	Homo sapiens (Human)	449	TUBA8
P0DPH8	reviewed	TBA3D_HUMAN	Tubulin alpha-3D chain (EC 3.6.5.-) (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]	TUBA3D	Homo sapiens (Human)	450	TUBA3D
P07437	reviewed	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	TUBB TUBB5 OK/SW-cl.56	Homo sapiens (Human)	444	TUBB
P68371	reviewed	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445	TUBB4B
Q6PEY2	reviewed	TBA3E_HUMAN	Tubulin alpha-3E chain (EC 3.6.5.-) (Alpha-tubulin 3E) [Cleaved into: Detyrosinated tubulin alpha-3E chain]	TUBA3E	Homo sapiens (Human)	450	TUBA3E
Q9NRH3	reviewed	TBG2_HUMAN	Tubulin gamma-2 chain (Gamma-2-tubulin)	TUBG2	Homo sapiens (Human)	451	TUBG2
Q15813	reviewed	TBCE_HUMAN	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	TBCE	Homo sapiens (Human)	527	TBCE
Q9BUF5	reviewed	TBB6_HUMAN	Tubulin beta-6 chain (Tubulin beta class V)	TUBB6	Homo sapiens (Human)	446	TUBB6
Q13885	reviewed	TBB2A_HUMAN	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A TUBB2	Homo sapiens (Human)	445	TUBB2A
P23258	reviewed	TBG1_HUMAN	Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1)	TUBG1 TUBG	Homo sapiens (Human)	451	TUBG1
Q3ZCM7	reviewed	TBB8_HUMAN	Tubulin beta-8 chain (Tubulin beta 8 class VIII)	TUBB8	Homo sapiens (Human)	444	TUBB8
Q9BTW9	reviewed	TBCD_HUMAN	Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D)	TBCD KIAA0988 SSD1 TFCD PP1096	Homo sapiens (Human)	1192	TBCD
Q15814	reviewed	TBCC_HUMAN	Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC)	TBCC	Homo sapiens (Human)	346	TBCC
Q8NHH1	reviewed	TTL11_HUMAN	Tubulin polyglutamylase TTLL11 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 11)	TTLL11 C9orf20	Homo sapiens (Human)	710	TTLL11
A6NNZ2	reviewed	TBB8B_HUMAN	Tubulin beta 8B	TUBB8B	Homo sapiens (Human)	444	TUBB8B
A6NNM8	reviewed	TTL13_HUMAN	Tubulin polyglutamylase TTLL13 (EC 6.3.2.-) (Tubulin tyrosine ligase like 13) (Tubulin tyrosine ligase-like family member 13 pseudogene) (Tubulin--tyrosine ligase-like protein 13)	TTLL13 TTLL13P	Homo sapiens (Human)	815	TTLL13
Q3SXZ7	reviewed	TTLL9_HUMAN	Probable tubulin polyglutamylase TTLL9 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 9)	TTLL9 C20orf125	Homo sapiens (Human)	439	TTLL9
Q9Y4R7	reviewed	TTLL3_HUMAN	Tubulin monoglycylase TTLL3 (EC 6.3.2.-) (HOTTL) (Tubulin--tyrosine ligase-like protein 3)	TTLL3 PRO0207	Homo sapiens (Human)	772	TTLL3
Q9H4B7	reviewed	TBB1_HUMAN	Tubulin beta-1 chain	TUBB1	Homo sapiens (Human)	451	TUBB1
Q6IQ55	reviewed	TTBK2_HUMAN	Tau-tubulin kinase 2 (EC 2.7.11.1)	TTBK2 KIAA0847	Homo sapiens (Human)	1244	TTBK2
Q9BVA1	reviewed	TBB2B_HUMAN	Tubulin beta-2B chain	TUBB2B	Homo sapiens (Human)	445	TUBB2B
O95922	reviewed	TTLL1_HUMAN	Polyglutamylase complex subunit TTLL1 (EC 6.3.2.-) (Tubulin polyglutamylase TTLL1) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1)	TTLL1 C22orf7	Homo sapiens (Human)	423	TTLL1
Q8N841	reviewed	TTLL6_HUMAN	Tubulin polyglutamylase TTLL6 (EC 6.3.2.-) (Protein polyglutamylase TTLL6) (Tubulin--tyrosine ligase-like protein 6)	TTLL6 TTL.6	Homo sapiens (Human)	891	TTLL6
Q14679	reviewed	TTLL4_HUMAN	Tubulin monoglutamylase TTLL4 (EC 6.3.2.-) (Protein monoglutamylase TTLL4) (Tubulin--tyrosine ligase-like protein 4)	TTLL4 KIAA0173	Homo sapiens (Human)	1199	TTLL4
Q96K30	reviewed	RITA1_HUMAN	RBPJ-interacting and tubulin-associated protein 1 (RBPJ-interacting and tubulin-associated protein)	RITA1 C12orf52 RITA PSEC0043	Homo sapiens (Human)	269	RITA1
O75347	reviewed	TBCA_HUMAN	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	TBCA	Homo sapiens (Human)	108	TBCA
Q14166	reviewed	TTL12_HUMAN	Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12)	TTLL12 KIAA0153	Homo sapiens (Human)	644	TTLL12
A6NHL2	reviewed	TBAL3_HUMAN	Tubulin alpha chain-like 3 (EC 3.6.5.-)	TUBAL3	Homo sapiens (Human)	446	TUBAL3
Q6ZT98	reviewed	TTLL7_HUMAN	Tubulin polyglutamylase TTLL7 (EC 6.3.2.-) (Testis development protein NYD-SP30) (Tubulin--tyrosine ligase-like protein 7)	TTLL7	Homo sapiens (Human)	887	TTLL7
Q9BWV7	reviewed	TTLL2_HUMAN	Probable tubulin polyglutamylase TTLL2 (EC 6.-.-.-) (Testis-specific protein NYD-TSPG) (Tubulin--tyrosine ligase-like protein 2)	TTLL2 C6orf104	Homo sapiens (Human)	592	TTLL2
Q6ZTW0	reviewed	TPGS1_HUMAN	Tubulin polyglutamylase complex subunit 1 (PGs1)	TPGS1 C19orf20	Homo sapiens (Human)	290	TPGS1
Q99426	reviewed	TBCB_HUMAN	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	TBCB CG22 CKAP1	Homo sapiens (Human)	244	TBCB
Q6EMB2	reviewed	TTLL5_HUMAN	Tubulin polyglutamylase TTLL5 (EC 6.3.2.-) (SRC1 and TIF2-associated modulatory protein) (STAMP protein) (Tubulin--tyrosine ligase-like protein 5)	TTLL5 KIAA0998 STAMP	Homo sapiens (Human)	1281	TTLL5
Q96RT8	reviewed	GCP5_HUMAN	Gamma-tubulin complex component 5 (GCP-5)	TUBGCP5 GCP5 KIAA1899	Homo sapiens (Human)	1024	TUBGCP5
Q96RT7	reviewed	GCP6_HUMAN	Gamma-tubulin complex component 6 (GCP-6)	TUBGCP6 GCP6 KIAA1669	Homo sapiens (Human)	1819	TUBGCP6
Q5TCY1	reviewed	TTBK1_HUMAN	Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)	TTBK1 BDTK KIAA1855	Homo sapiens (Human)	1321	TTBK1
Q9UBN7	reviewed	HDAC6_HUMAN	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	Homo sapiens (Human)	1215	HDAC6
Q9H6J7	reviewed	CSTP1_HUMAN	Centriolar satellite-associated tubulin polyglutamylase complex regulator 1	CSTPP1 C11orf49	Homo sapiens (Human)	331	CSTPP1
Q6ZVT0	reviewed	TTL10_HUMAN	Inactive polyglycylase TTLL10 (Tubulin--tyrosine ligase-like protein 10)	TTLL10	Homo sapiens (Human)	673	TTLL10
A6PVC2	reviewed	TTLL8_HUMAN	Protein monoglycylase TTLL8 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 8)	TTLL8	Homo sapiens (Human)	850	TTLL8
P32255	reviewed	TBA_DICDI	Tubulin alpha chain (EC 3.6.5.-) (Alpha-tubulin)	tubA DDB_G0287689	Dictyostelium discoideum (Social amoeba)	457	tubA
P32256	reviewed	TBB_DICDI	Tubulin beta chain (Beta-tubulin)	tubB DDB_G0269196	Dictyostelium discoideum (Social amoeba)	455	tubB
P34475	reviewed	TBG_CAEEL	Tubulin gamma chain (Gamma-tubulin)	tbg-1 F58A4.8	Caenorhabditis elegans	444	tbg-1
Q9R1K7	reviewed	TBD_MOUSE	Tubulin delta chain (Delta-tubulin)	Tubd1	Mus musculus (Mouse)	455	Tubd1
P02557	reviewed	TBB_YEAST	Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457	TUB2
P53378	reviewed	TBG_YEAST	Tubulin gamma chain (Gamma-tubulin)	TUB4 YLR212C L8167.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	473	TUB4
P81947	reviewed	TBA1B_BOVIN	Tubulin alpha-1B chain (EC 3.6.5.-) (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]		Bos taurus (Bovine)	451	
Q5XIF6	reviewed	TBA4A_RAT	Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 4) (Tubulin alpha-4 chain)	Tuba4a Tuba4	Rattus norvegicus (Rat)	448	Tuba4a
P81948	reviewed	TBA4A_BOVIN	Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Bos taurus (Bovine)	448	TUBA4A
P68370	reviewed	TBA1A_RAT	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Tubulin alpha-1 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	Tuba1a Tuba1	Rattus norvegicus (Rat)	451	Tuba1a
Q6AYZ1	reviewed	TBA1C_RAT	Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	Tuba1c Tuba6	Rattus norvegicus (Rat)	449	Tuba1c
