Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
P49720	reviewed	PSB3_HUMAN	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	PSMB3	Homo sapiens (Human)	205	PSMB3
O14818	reviewed	PSA7_HUMAN	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	PSMA7 HSPC	Homo sapiens (Human)	248	PSMA7
P62333	reviewed	PRS10_HUMAN	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	Homo sapiens (Human)	389	PSMC6
Q14997	reviewed	PSME4_HUMAN	Proteasome activator complex subunit 4 (Proteasome activator PA200)	PSME4 KIAA0077	Homo sapiens (Human)	1843	PSME4
P28074	reviewed	PSB5_HUMAN	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X)	PSMB5 LMPX MB1 X	Homo sapiens (Human)	263	PSMB5
O43242	reviewed	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	Homo sapiens (Human)	534	PSMD3
Q99460	reviewed	PSMD1_HUMAN	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	Homo sapiens (Human)	953	PSMD1
A5LHX3	reviewed	PSB11_HUMAN	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300	PSMB11
Q5VYK3	reviewed	ECM29_HUMAN	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)	ECPAS ECM29 KIAA0368	Homo sapiens (Human)	1845	ECPAS
P35998	reviewed	PRS7_HUMAN	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	PSMC2 MSS1	Homo sapiens (Human)	433	PSMC2
