Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
A0A0H3JRU9	reviewed	PYC_STAAM	Pyruvate carboxylase (EC 6.4.1.1)	pycA SAV1114	Staphylococcus aureus (strain Mu50 / ATCC 700699)	1150	pycA	158878
A0A2K3DZC4	reviewed	BSD2_CHLRE	Protein BUNDLE SHEATH DEFECTIVE 2, chloroplastic (CrBSD2)	BSD2 ZNJ2 CHLRE_03g201050v5 CHLREDRAFT_183954	Chlamydomonas reinhardtii (Chlamydomonas smithii)	156	BSD2	3055
A5HNV6	reviewed	DCAMP_TRYBB	Inactive S-adenosylmethionine decarboxylase prozyme (AdoMetDC prozyme)		Trypanosoma brucei brucei	325		5702
A7IQH5	reviewed	HCDS3_XANP2	2-(S)-hydroxypropyl-CoM dehydrogenase 3 (S-HPCDH 3) (EC 1.1.1.269) (2-[(S)-2-hydroxypropylthio]ethanesulfonate dehydrogenase 3) (Aliphatic epoxide carboxylation component IV) (Epoxide carboxylase component IV) (SHPCDH3)	xecE3 Xaut_5073	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	255	xecE3	78245
B0F481	reviewed	BIODA_ARATH	Bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial (Bifunctional BIO3-BIO1 protein) [Includes: Dethiobiotin synthetase (EC 6.3.3.3) (DTB synthetase) (DTBS) (Protein BIOTIN AUXOTROPH 3); 7,8-diamino-pelargonic acid aminotransferase (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Adenosylmethionine-8-amino-7-oxononanoate aminotransferase) (EC 2.6.1.62) (Diaminopelargonic acid synthase) (Protein BIOTIN AUXOTROPH 1)]	BIO3-BIO1 BIO1 BIO3 At5g57590 MUA2.17/MUA2.18	Arabidopsis thaliana (Mouse-ear cress)	833	BIO3-BIO1	3702
D4GTL3	reviewed	ACEA_HALVD	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	aceA HVO_1984 C498_05201	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	345	aceA	309800
E9Q4Z2	reviewed	ACACB_MOUSE	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	Acacb Acc2 Accb	Mus musculus (Mouse)	2448	Acacb	10090
I6YFP0	reviewed	BIRA_MYCTU	Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15) (Biotin--[biotin carboxyl-carrier protein] ligase) (Biotin--protein ligase) (BPL) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA Rv3279c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	266	birA	83332
O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	ACACB ACC2 ACCB	Homo sapiens (Human)	2458	ACACB	9606
O03042	reviewed	RBL_ARATH	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL AtCg00490	Arabidopsis thaliana (Mouse-ear cress)	479	rbcL	3702
O04197	reviewed	COI1_ARATH	Coronatine-insensitive protein 1 (COI-1) (F-box/LRR-repeat protein 2) (AtCOI1) (AtFBL2)	COI1 FBL2 At2g39940 T28M21.10	Arabidopsis thaliana (Mouse-ear cress)	592	COI1	3702
O04983	reviewed	ACCC_ARATH	Biotin carboxylase, chloroplastic (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)	CAC2 At5g35360 T26D22.8	Arabidopsis thaliana (Mouse-ear cress)	537	CAC2	3702
