PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
na	na	na	9_1_Bio_S1-E9_1	9_2_Bio_S1-E10_1	9_3_Bio_S1-E11_1	BID_GFP_C_1_S1-B10_1	BID_GFP_C_1_S1-B6_1	BID_GFP_C_1_S1-B6_1	BID_GFP_C_2_S1-B11_1	BID_GFP_C_2_S1-B7_1	BID_GFP_C_2_S1-B7_1	BID_GFP_C_3_S1-B8_1	BID_GFP_C_3_S1-B8_1	BID_GFP_MED_NLS_1_S1-C6_1	BID_GFP_MED_NLS_2_S1-C7_1	BID_GFP_MED_NLS_3_S1-C8_1	BID_GFP_MYC_NLS_1_S1-C10_1	BID_GFP_MYC_NLS_2_S1-C11_1	BID_GFP_MYC_NLS_3_S1-C12_1	BID_GFP_NLS1_1_S1-B2_1	BID_GFP_NLS1_1_S1-C2_1	BID_GFP_NLS1_2_S1-B3_1	BID_GFP_NLS1_2_S1-C3_1	BID_GFP_NLS1_3_S1-B4_1	BID_GFP_NLS1_3_S1-C4_1	BID_GFP_N_1_S1-B10_1	BID_GFP_N_2_S1-B11_1	BID_GFP_N_3_S1-B12_1	BID_gfp-nls_1_S2-B6_1	BID_gfp-nls_2_S2-B7_1	BID_gfp-nls_3_S2-B8_1	Bio_GFP_1_S2-A1_1	Bio_GFP_2_S2-A2_1	Bio_GFP_3_S2-A3_1	Bio_GFP_4_S2-A4_1	GFP1_Bio_S1-C3_1	GFP1_Bio_S1-C4_1	GFP1_Bio_S1-C5_1	GFP1_Bio_S1-C6_1	GFP_BIO1_S3-D5_1	GFP_BIO2_S3-D6_1	GFP_BIOID_Slot1-23_1	GFP_BIOID_Slot1-24_1	GFP_BIO_1_S1-C12_1	GFP_C_1_Bio_S1-B8_1	GFP_C_2_Bio_S1-B9_1	GFP_C_BIO_1_S2-C6_1	GFP_C_BIO_2_S2-C7_1	GFP_C_BIO_3_S2-C8_1	GFP_N_1_Bio_S1-B11_1	GFP_N_2_Bio_S1-B12_1	GFP_S1-H2_1	GFP_S1-H3_1	MAC2_C_GFP_BIO10_S1-B5_1	MAC2_C_GFP_BIO1_S3-E1_1	MAC2_C_GFP_BIO2_S3-E2_1	MAC2_C_GFP_BIO3_S3-E3_1	MAC2_C_GFP_BIO4_S3-E4_1	MAC2_C_GFP_BIO5_S3-E5_1	MAC2_C_GFP_BIO6_S3-E6_1	MAC2_C_GFP_BIO7_S3-E7_1	MAC2_C_GFP_BIO8_S3-E8_1	MAC2_C_GFP_BIO9_S1-B4_1	MAC2_N_GFP_BIO10_S1-B8_1	MAC2_N_GFP_BIO1_S3-F1_1	MAC2_N_GFP_BIO2_S3-F2_1	MAC2_N_GFP_BIO3_S3-F3_1	MAC2_N_GFP_BIO4_S3-F4_1	MAC2_N_GFP_BIO5_S3-F5_1	MAC2_N_GFP_BIO6_S3-F6_1	MAC2_N_GFP_BIO7_S3-F7_1	MAC2_N_GFP_BIO8_S3-F8_1	MAC2_N_GFP_BIO9_S1-B7_1	MAC_N_GFP_BIO4_S3-D4_1	MAC_N_GFP_BIO5_S3-D5_1	MED_1_Bio_S1-C2_1	MED_2_Bio_S1-C3_1	MYC_1_Bio_S1-C5_1	MYC_2_Bio_S1-C6_1	NLS1_1_Bio_S1-B5_1	NLS1_2_Bio_S1-B6_1	SUC_N_GFP_BIO10_S1-C2_1	SUC_N_GFP_BIO1_S3-H1_1	SUC_N_GFP_BIO2_S3-H2_1	SUC_N_GFP_BIO3_S3-H3_1	SUC_N_GFP_BIO4_S3-H4_1	SUC_N_GFP_BIO5_S3-H5_1	SUC_N_GFP_BIO6_S3-H6_1	SUC_N_GFP_BIO7_S3-H7_1	SUC_N_GFP_BIO8_S3-H8_1	SUC_N_GFP_BIO9_S1-C1_1
BirA		320	0	0	0	565	270	504	508	270	574	265	503	437	417	450	494	486	490	244	490	293	530	201	492	714	770	732	174	178	160	563	548	712	747	600	595	583	617	286	286	1082	1078	494	440	512	216	324	192	659	626	463	489	5	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	5	302	306	416	460	487	534	431	484	0	0	0	0	0	0	0	0	0	0
SH-TAG		59	34	38	47	30	22	36	32	19	36	19	35	32	31	31	36	35	28	22	37	22	33	20	36	96	86	81	6	12	8	26	34	42	57	34	33	30	30	19	28	55	53	9	28	32	29	28	26	76	79	38	34	126	112	101	99	94	96	93	101	101	144	139	56	61	49	51	51	47	47	46	98	32	33	21	22	26	25	24	26	34	30	33	32	31	37	33	37	32	55
P00004	CYCS	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00722	lacZ	1024	15	10	16	50	1	88	46	0	83	0	81	20	25	29	90	88	100	0	81	0	76	0	81	83	82	81	0	0	0	33	40	86	90	52	53	50	45	8	5	11	34	39	67	71	20	24	10	68	68	45	49	19	15	20	14	14	13	13	12	14	14	7	9	9	12	8	13	9	9	8	4	0	0	9	11	81	77	63	68	2	8	10	6	9	9	10	9	10	2
P00761		231	74	81	74	33	84	24	28	86	21	83	25	33	32	39	36	28	27	105	12	104	18	107	16	36	39	43	73	74	73	24	27	65	66	43	41	53	46	14	14	39	19	33	34	26	40	50	50	62	45	18	22	46	29	23	19	18	21	17	22	22	42	51	63	63	63	71	58	58	57	65	30	48	63	37	36	39	35	39	30	25	59	49	50	57	52	53	50	53	21
P02534		412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02662	CSN1S1	214	2	1	3	0	3	0	0	1	2	1	2	2	0	0	3	0	2	4	0	3	0	10	4	3	3	3	3	0	0	2	1	2	4	1	0	3	1	0	0	0	0	0	4	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	1	0	2	7	6	5	8	5	6	7	7	6	2
P02663	CSN1S2	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
P02666	CSN2	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	3	4	7	4	3	4	0
