Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Unique Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Unique Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Unique Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Unique Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Unique Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Unique Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Unique Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Unique Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Unique Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Unique Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Unique Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Unique Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Unique Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Unique Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Unique Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Unique Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Unique Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Unique Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Total Spectral Count	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Total Spectral Count	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Total Spectral Count	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Total Spectral Count	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Total Spectral Count	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Total Spectral Count	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Total Spectral Count	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Total Spectral Count	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Total Spectral Count	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Total Spectral Count	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Total Spectral Count	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Total Spectral Count	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Total Spectral Count	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Total Spectral Count	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Total Spectral Count	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Total Spectral Count	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Total Spectral Count	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Total Spectral Count	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 Intensity	15538_DMP_AP2_GFP_3N_2_S1_B11_1 Intensity	15539_DMP_AP2_GFP_3N_3_S1_B12_1 Intensity	15537_DMP_AP2_GFP_3N_1_S1_B10_1 Intensity	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 Intensity	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 Intensity	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 Intensity	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 Intensity	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 Intensity	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 Intensity	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 Intensity	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 Intensity	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 Intensity	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 Intensity	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 Intensity	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 Intensity	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 Intensity	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 Intensity	17567_GFP_MAC3N_16hBID_R1_S1_D9_1 MaxLFQ Intensity	15538_DMP_AP2_GFP_3N_2_S1_B11_1 MaxLFQ Intensity	15539_DMP_AP2_GFP_3N_3_S1_B12_1 MaxLFQ Intensity	15537_DMP_AP2_GFP_3N_1_S1_B10_1 MaxLFQ Intensity	17568_GFP_MAC3N_16hBID_R2_S1_D10_1 MaxLFQ Intensity	17569_GFP_MAC3N_16hBID_R3_S1_D11_1 MaxLFQ Intensity	17552_NFIB_MAC3N_16hBID_R2_S1_C6_1 MaxLFQ Intensity	15630_DMP_AP2_NFIX_3N_2_S1_H8_1 MaxLFQ Intensity	17560_NFIX_MAC3N_16hBID_R2_S1_D2_1 MaxLFQ Intensity	17547_NFIA_MAC3N_16hBID_R1_S1_C1_1 MaxLFQ Intensity	15589_DMP_AP1_NFIC_3N_1_S1_F1_1 MaxLFQ Intensity	15575_DMP_AP1_NFIB_3N_3_S1_E3_1 MaxLFQ Intensity	17555_NFIC_MAC3N_16hBID_R1_S1_C9_1 MaxLFQ Intensity	17549_NFIA_MAC3N_16hBID_R3_S1_C3_1 MaxLFQ Intensity	15591_DMP_AP1_NFIC_3N_3_S1_F3_1 MaxLFQ Intensity	17557_NFIC_MAC3N_16hBID_R3_S1_C11_1 MaxLFQ Intensity	15629_DMP_AP2_NFIX_3N_1_S1_H7_1 MaxLFQ Intensity	17551_NFIB_MAC3N_16hBID_R1_S1_C5_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q9BY76|ANGL4_HUMAN	Q9BY76	ANGL4_HUMAN	ANGPTL4	406	Homo sapiens	3:Protein inferred from homology	Angiopoietin-related protein 4 	0.9114	0.9986	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q8NGL0|OR5L2_HUMAN	Q8NGL0	OR5L2_HUMAN	OR5L2	311	Homo sapiens	5:Protein uncertain	Olfactory receptor 5L2 	0.9348	0.999	1	5	0	5	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	10589.059	0.0	8271.327	7065.2417	5358.1074	7386.0703	6417.477	3873.0393	6568.1685	0.0	0.0	0.0	18349.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94768|ST17B_HUMAN	O94768	ST17B_HUMAN	STK17B	372	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase 17B 	0.9998	0.9968	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9NRY5|F1142_HUMAN	Q9NRY5	F1142_HUMAN	FAM114A2	505	Homo sapiens	1:Experimental evidence at protein level	Protein FAM114A2 	0.9312	0.9989	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P19957|ELAF_HUMAN	P19957	ELAF_HUMAN	PI3	117	Homo sapiens	1:Experimental evidence at protein level	Elafin 	1.0	0.999	17	181	181	181	8	5	7	7	9	13	15	10	12	12	16	27	7	3	9	1	2	0	8	5	7	7	9	13	15	10	12	12	16	27	7	3	9	1	2	0	8	5	7	7	9	13	15	10	12	12	16	27	7	3	9	1	2	0	233860.25	206636.0	211251.48	225989.39	299513.78	307368.3	315339.44	284711.6	242252.52	269911.47	310980.22	254183.45	182400.03	123406.875	201821.12	49852.332	41276.44	82896.96	29920.1	28597.254	27776.807	36423.332	30895.229	32492.307	32984.527	33659.258	31573.527	32048.438	34602.05	36379.934	26845.357	29640.242	32891.79	22890.393	29396.09	27108.535	
sp|Q4G112|HSF5_HUMAN	Q4G112	HSF5_HUMAN	HSF5	596	Homo sapiens	1:Experimental evidence at protein level	Heat shock factor protein 5 	1.0	0.999	8	19	19	19	0	0	0	0	0	0	1	0	1	1	0	0	8	1	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	8	1	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	8	1	4	0	0	0	28778.453	16610.096	18073.412	15443.386	16723.48	21677.795	43005.1	16159.334	29971.71	30254.387	20343.584	32390.61	112761.94	63268.945	102033.42	0.0	0.0	0.0	15435.016	0.0	0.0	0.0	0.0	15669.149	16779.395	0.0	21424.596	20523.488	0.0	22539.732	31132.855	27695.146	30415.59	0.0	0.0	0.0	
sp|P0DV73|F90AG_HUMAN	P0DV73	F90AG_HUMAN	FAM90A16	464	Homo sapiens	1:Experimental evidence at protein level	Protein FAM90A16 	1.0	0.999	10	221	221	221	10	5	16	15	15	8	13	15	12	9	7	12	11	10	13	6	1	4	10	5	16	15	15	8	13	15	12	9	7	12	11	10	13	6	1	4	10	5	16	15	15	8	13	15	12	9	7	12	11	10	13	6	1	4	177955.47	122892.805	201249.05	214623.52	195329.12	199775.53	142720.45	194675.3	171069.06	195918.1	172303.5	175756.61	197663.67	125580.79	205119.03	132673.81	71001.78	155469.6	32815.17	30238.031	34085.35	42184.18	38094.617	41688.168	42877.95	37552.22	35966.48	42778.1	40699.355	38932.293	34746.598	33035.88	40326.12	34203.35	33316.01	32101.5	
sp|A0A1B0GTJ6|SAXO3_HUMAN	A0A1B0GTJ6	SAXO3_HUMAN	SAXO3	334	Homo sapiens	1:Experimental evidence at protein level	Stabilizer of axonemal microtubules 3 	1.0	0.999	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24152.443	10579.414	23598.766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13189.753	0.0	12862.099	0.0	0.0	0.0	
sp|Q9BTL4|IER2_HUMAN	Q9BTL4	IER2_HUMAN	IER2	223	Homo sapiens	1:Experimental evidence at protein level	Immediate early response gene 2 protein 	0.9347	0.999	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q99525|H4G_HUMAN	Q99525	H4G_HUMAN	H4C7	98	Homo sapiens	1:Experimental evidence at protein level	Histone H4-like protein type G 	0.9889	0.999	1	5	5	5	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0.0	0.0	24593.152	0.0	19315.658	0.0	17608.82	16508.355	0.0	16659.525	17360.25	17468.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
