Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Organism (ID)
A0A0G2JZ79	reviewed	SIR1_RAT	NAD-dependent protein deacetylase sirtuin-1 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-)	Sirt1	Rattus norvegicus (Rat)	555	Sirt1	10116
A0A0H2URK1	reviewed	PSRP_STRPN	Pneumococcal serine-rich repeat protein (PsrP) (Adhesin PsrP) (Serine-rich repeat protein PsrP)	psrP SP_1772	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	4776	psrP	170187
D3ZER2	reviewed	BFSP2_RAT	Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L)	Bfsp2	Rattus norvegicus (Rat)	416	Bfsp2	10116
F7EQ49	reviewed	GPER1_MACMU	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	GPER1 GPER GPR30	Macaca mulatta (Rhesus macaque)	375	GPER1	9544
O08878	reviewed	GPER1_RAT	G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (G-protein coupled receptor 41) (Membrane estrogen receptor) (mER)	Gper1 Cmkrl2 Gper Gpr30 Gpr41	Rattus norvegicus (Rat)	375	Gper1	10116
O42779	reviewed	CARP9_CANAX	Secreted aspartic protease 9 (ACP 9) (Aspartate protease 9) (EC 3.4.23.24) (Candidapepsin-9)	SAP9	Candida albicans (Yeast)	544	SAP9	5476
O43790	reviewed	KRT86_HUMAN	Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)	KRT86 KRTHB6	Homo sapiens (Human)	486	KRT86	9606
O70126	reviewed	AURKB_MOUSE	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5	Mus musculus (Mouse)	345	Aurkb	10090
O70456	reviewed	1433S_MOUSE	14-3-3 protein sigma (Stratifin)	Sfn Mkrn3	Mus musculus (Mouse)	248	Sfn	10090
O75190	reviewed	DNJB6_HUMAN	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1	Homo sapiens (Human)	326	DNAJB6	9606
O76011	reviewed	KRT34_HUMAN	Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)	KRT34 HHA4 HKA4 KRTHA4	Homo sapiens (Human)	394	KRT34	9606
O76013	reviewed	KRT36_HUMAN	Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6) (Keratin-36) (K36)	KRT36 HHA6 HKA6 KRTHA6	Homo sapiens (Human)	467	KRT36	9606
O76014	reviewed	KRT37_HUMAN	Keratin, type I cuticular Ha7 (Hair keratin, type I Ha7) (Keratin-37) (K37)	KRT37 HHA7 HKA7 KRTHA7	Homo sapiens (Human)	449	KRT37	9606
O76015	reviewed	KRT38_HUMAN	Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8) (Keratin-38) (K38)	KRT38 HHA8 HKA8 KRTHA8	Homo sapiens (Human)	456	KRT38	9606
O76070	reviewed	SYUG_HUMAN	Gamma-synuclein (Breast cancer-specific gene 1 protein) (Persyn) (Synoretin) (SR)	SNCG BCSG1 PERSYN PRSN	Homo sapiens (Human)	127	SNCG	9606
O77788	reviewed	NFM_BOVIN	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	NEFM NEF3 NFM	Bos taurus (Bovine)	926	NEFM	9913
O88898	reviewed	P63_MOUSE	Tumor protein 63 (p63) (Transformation-related protein 63) (TP63) (Tumor protein p73-like) (p73L)	Tp63 P63 P73l Tp73l Trp63	Mus musculus (Mouse)	680	Tp63	10090
O89094	reviewed	CASPE_MOUSE	Caspase-14 (CASP-14) (EC 3.4.22.-) (Mini-ICE) (MICE) [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form]	Casp14	Mus musculus (Mouse)	257	Casp14	10090
O95678	reviewed	K2C75_HUMAN	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	KRT75 K6HF KB18	Homo sapiens (Human)	551	KRT75	9606
P00780	reviewed	SUBC_BACLI	Subtilisin Carlsberg (EC 3.4.21.62)	subC apr	Bacillus licheniformis	379	subC	1402
P02533	reviewed	K1C14_HUMAN	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	472	KRT14	9606
P02535	reviewed	K1C10_MOUSE	Keratin, type I cytoskeletal 10 (56 kDa cytokeratin) (Cytokeratin-10) (CK-10) (Keratin, type I cytoskeletal 59 kDa) (Keratin-10) (K10)	Krt10 Krt1-10	Mus musculus (Mouse)	570	Krt10	10090
P02538	reviewed	K2C6A_HUMAN	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564	KRT6A	9606
P04104	reviewed	K2C1_MOUSE	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)	Krt1 Krt2-1	Mus musculus (Mouse)	637	Krt1	10090
P04259	reviewed	K2C6B_HUMAN	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	KRT6B K6B KRTL1	Homo sapiens (Human)	564	KRT6B	9606
P04264	reviewed	K2C1_HUMAN	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644	KRT1	9606
P05783	reviewed	K1C18_HUMAN	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430	KRT18	9606
P05784	reviewed	K1C18_MOUSE	Keratin, type I cytoskeletal 18 (Cytokeratin endo B) (Keratin D) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Krt18 Kerd Krt1-18	Mus musculus (Mouse)	423	Krt18	10090
P05787	reviewed	K2C8_HUMAN	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	KRT8 CYK8	Homo sapiens (Human)	483	KRT8	9606
P06394	reviewed	K1C10_BOVIN	Keratin, type I cytoskeletal 10 (Cytokeratin VIB) (Cytokeratin-10) (CK-10) (Cytokeratin-6B) (Keratin-10) (K10)	KRT10	Bos taurus (Bovine)	526	KRT10	9913
P06873	reviewed	PRTK_PARAQ	Proteinase K (EC 3.4.21.64) (Endopeptidase K) (Tritirachium alkaline proteinase)	PROK	Parengyodontium album (Tritirachium album)	384	PROK	37998
P06922	reviewed	VE4_HPV16	Protein E4 (E1^E4)	E4	Human papillomavirus type 16	92	E4	333760
P07197	reviewed	NFM_HUMAN	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	NEFM NEF3 NFM	Homo sapiens (Human)	916	NEFM	9606
P07476	reviewed	INVO_HUMAN	Involucrin	IVL	Homo sapiens (Human)	585	IVL	9606
P07744	reviewed	K2C4_MOUSE	Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Cytoskeletal 57 kDa keratin) (Keratin-4) (K4) (Type-II keratin Kb4)	Krt4 Krt2-4	Mus musculus (Mouse)	525	Krt4	10090
P08553	reviewed	NFM_MOUSE	Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	Nefm Nef3 Nfm	Mus musculus (Mouse)	848	Nefm	10090
P08670	reviewed	VIME_HUMAN	Vimentin	VIM	Homo sapiens (Human)	466	VIM	9606
P08727	reviewed	K1C19_HUMAN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Homo sapiens (Human)	400	KRT19	9606
