Protein.Group	Columns can be as numerous as you want and contain whatever you want.	As long as there is a "Protein.Group" -column, and sample columns that match the sample table exactly.	6136_sample1_replicate1	6135_sample1_replicate2	6137_sample1_replicate3	6127_sample2_replicate1	6128_sample2_replicate2	6129_sample2_replicate3	sample3_replicate1	sample3_replicate2	sample3_replicate3	these_samples_without_sample_group_will_not_be_loaded	sample_without_sample_group_2	sample_without_sample_group_3
P07919			26938.7	27059.6	25907.5	15264.7	16742.2	18715.3	18132.9	17869.2	16992.8	16720.6	15398.3	16431.2
Q13303	random		42736.3	48695.7	49874.3	52359	44011.3	43237.9	31856.7	34184.7	31195.2	29422.5	29032.8	23483.4
Q01543			5308.51	4321.57	3833.15	5732.85	5281.77	6015.55	6512.9	6265.65	5700.66	5877.73	6368.46	6267.58
P0C7P4			6533.1	8116.1	7932	9421.15	8983.32	10333.6	9606.54	8482.76	8866.83	8350.07	8144.45	7653.85
P0C628		values		11172.1		13480.2			10789.9	11133.4		9074.93	10929.6	
Q6UWD8			6679.37	5883.07	7329.49	7326.28	7117.36	7565	9825.28	10197.1	10539.3	10913.8	11494.4	11781.7
Q2VPB7			5913.8	8421.24	7875.91	8402.3	6452.3	7868.77	7947.9	9358.5	9084.77	11070.4	11552.3	11853.6
B2RXH2			8866.3	7988.39	8826.84	8602.24	8224.97	8347.64	9021.02	10244.5	9746.13	9975.12	10132.8	10250.8
O14901	or 		15289.6	15970.2	14444.1	13782.5	15745.9	14788.4	16564.3	15498.4	16410.1	17157.2	16831.9	18743.9
O60320			8982.8	7430.12	6435.75	8694.21	7621.46	7310.3	8182.24	8988.92	8479.8	8332.21	7659.51	9451.55
Q8TBY0			8880.83	7353.34	7439.79	8803.63	6437.51	7288.45	6935	6542.72	6771.31	6490.48	6459.3	8041.87
O43462		mapping	7216.52	9273.77	7801.58	9165.96	8652.73	8798.87	9447.17	10788.6	9834.95	11739.3	10618.3	10149.5
P07996			9671.81	9842.82	12078.4	14574.2	13696.9	14476.7	15563.7	11862.9	14902.4	14988.1	13511.7	11019.1
Q8TDN7	information			13337.9	13924.4	9991.3	10713	11137.7	11320.3	12122.8	9225.06	12580	10433.6	13023.2
Q8IV33			6883.12	6732.38	6932.36	7426.56	6911.77	8716.37	9547.63	10508.1	8416.78	9552.35	8953.38	11871.9
O00233		or	926.367	844.201	1362.36	1785.98	1978.37	2248.68	1309.49	1673.57	1535.96	1364.36	1562.06	1448.6
A0A0B4J1U3			28841.2	28778.9	29148.8	21308.5	22954.4	19494.1	21120.4	22833.2	23499.2	22044.8	22779.4	24790.1
Q9UQ53	experimental		3756.09	4724.19	4352.02	3110.53	2742.88	3511.18	4141.94	3339	4073.42	3475.09	4655.37	3460.62
O75843			9290.24		5174.01	9070.04	5879.18	6653.15	6143.63	5971.78	4320.38	5738.84		
Q9NQ38			2465.79	1924.19	3380.03	2881.38	2628.04	4457.26	2851.56	2842.4	2985.46	3501.45	2854.56	3494
P49223		info	40809.4	40157.8	39129.1	30892.8	35751.6	36507.2	33747.2	31671.1	29532.8	29553.1	31363.8	32181
O43704			483.739	453.945			398.8		597.392	913.67	744.898	973.92	1127.2	913.697
O00186			1322.89	2513.4	2431.48	1533.48	1799.94	2104.6	4182.02	3737.8	3365.98	4192.01	4551.74	4811.89
Q9HB75	all information not in the Protein.Group -column or sample columns will not be used		3443.55	2845.08	2895.96	3144.65	3547.22	2517.48	3486.65	3873.29	3550.47	3481.14	4327.63	4214.53
P38646			17265.8	16956.2	18322.8	20340.3	20786.4	19809.5	22992.7	23309.5	23737	23255.4	24331.7	26551.4
Q13003			12238.8	13880.4	12619.6	12851	13262.3	13017.8	12809.8	12457.1	15275.6	13159.7	12467.2	14007.9
Q9H2J1			6318.57	5794.56	5934.82	4235.5	5661.86	3488.02	3816.79	4392.29	3969.07	5116.2	4332.08	4502.41
P55263			1741.81	2423.21	1227.11	1152.85	1335.57	1552.57	868.963	1448.61	1541.3	1258.19	1637.5	1267.45
Q969M2			2672.66	3422.61	2431.51	1767.41	1680.89	1935.3	1911.77	2088.8	1938.47	2156.29	2798.19	2934.08
Q9H5V8			11669	11799.8	11810.4	12824.9	12308.3	12320.8	13977.1	13745.5	12826.3	13283.5	14397.9	12541.9
Q16621			41301.8	45029.9	44866.4	41586.4	43863.6	41510.3	40499.4	37948.7	35434.2	40266.4	37944.4	41732.2
A1A4S6			1240.64	1704.14	1316.43		356.324	634.084	1090.97	664.734	1004.37	725.35	629.527	1050.76
Q9NXD2			3063.81	3515.2	3324.06	2462.99	3552.25	2330.43	3787.15	2867.65	3770.83	3700.75	3849.83	4065.55
O00213				1984.92	2407.54	5447.9	2753.92	3192.75	3024	2753.25	3010.79	2162.44	1724.93	2345.16
Q6UXZ3			22545.5	23816	23013.4	21701.3	21954.1	21572.5	20527.4	20129.8	20270.7	23014.8	22601	22553.1
O43765			20239.6	17159.4	16892.4	11186.1	12044.5	11745.1	10821.9	9470.2	12274	11098.2	11331.2	10798.5
Q15915			29983.5	33407.5	29479.8	24131.4	20688.9	25884.4	20195	18071.8	19440.2	17583.7	18497.1	19968.9
Q02221			7735.65	7578.98	7977.6	9880.41	9221.16	9515.48	10868.8	10815	10325.4	10534.2	11035.5	10851.4
P55318			21974.9	22664.8	22980.5	20750.8	22371.4	19825.9	20846	22283.6	24089.9	22864.5	24126.4	22734.8
O43347			2861.87	2502.89	2669.17	3758.64	2427.91	2326.1	4093.83	3929.92	3095.81	3229.88	4539.29	3971.06
A1L170			2355.72		1387.79		1690.48	1509.28	1505.52			1537.84	1440.38	1408.15
Q9NZR4			6566.72	7344.48	6594.97	6672.55	8721.8	9856.73	9072.3	10433.5	10680.7	9187.39	11041.7	11766.1
Q92771			8363.16	7044.6	7010.62	7490.46	6921.81	8358.86	9786.45	10289	10905	9915.52	11991.6	11787.9
A0PJW8			3833.86	2876.11	3468.11	4395.93	3010.42	3105.85	4000.69	3994.4	3549.34	4462.56	4876.1	4920.84
P01730			10134.3	10781.7	13319.8	11863.3	12434.5	14168	17104.5	16045.5	14792	16268.3	16062.3	16738.6
Q96EY1				1878.88		2211.37	2023.88	2010.12	2326.65	2326.03	1793.63	2601.62	2270.72	3049.44
Q15274			2338.17	1937.38	1867.9	3726.73	3249.82	3251.2	3643.63	3993.15	3101.72	3919.67	5066.52	2774.46
A5PLN9				1671	2375.24	3844.09	4439.69	4359.99	3186.95	2920.12	1723.44	2957.02	3539.14	1645.11
Q6UWI2			5252.39	7305.78	7977.49	2723.81	5433.15	960.054	6972.18	8315.67	8125.2	7373.92	7523.69	9386.81
Q9NP91			12181.2	9537.19	9937.34	6607.89	6910.47	7853.32	5397.43	6713.83	7149.51	5560.12	6363.98	7777.73
Q8N357			20822.9	16857.5	14659.9	14284.3	16582.5	21227.3	20412.6	23635.7	22167.1	21065.4	24108.8	23246.2
Q5SQQ9			1.58E+06	1.67E+06	1.79E+06	1.42E+06	1.52E+06	1.52E+06	1.67E+06	1.54E+06	1.66E+06	1.79E+06	1.57E+06	1.51E+06
Q03431			36399.3	44231.7	42809	19924.7		25496.8	59139.9	41335.3	51669.6	59374	49535.1	48963.1
Q9H9J2			38065.5	35774.9	35946.2	30979.1	30535.4	30632.8	29454.4	28481.5	28222.2	29205.1	28674	29213.5
Q9Y2Y0			5596.91	5090.74	4834.09	4393.04	6605.97	5224.11	5800.56	4937.36	6353.58	5117.69	5736.95	5831.85
B7Z6K7								2832.27			1526.04	1837.46	1430.91	2156.06
O76027			20420.2	23389.3	19198.8	19652.8	17752.6	14841.8	19810.4	16821.2	19434.5	22807.6	22498.4	22622
Q6ZNL6				5371.26	4393.13	3064.1			6453.4		5758.69	6685.87	7531.81	6559.67
