Sample name	Sample group	Bait uniprot
MAC_N_GFP_BIO1_S3-D1_1_3673.d	Control_Group_1	P42212
MAC_N_GFP_BIO3_S3-D3_1_3675.d	Control_Group_1	P42212
MAC_N_GFP_BIO6_S3-D6_1_3678.d	Control_Group_1	P42212
MAC_C_GFP_BIO1_S3-B1_1_3655.d	Bait_Group_2	P03372
MAC_C_GFP_BIO2_S3-B2_1_3656.d	Bait_Group_2	P03372
MAC_C_GFP_BIO3_S3-B3_1_3657.d	Bait_Group_2	P03372
MAC_C_GFP_BIO4_S3-B4_1_3658.d	Bait_Group_3	P61981
MAC_C_GFP_BIO5_S3-B5_1_3659.d	Bait_Group_3	P61981
MAC_C_GFP_BIO6_S3-B6_1_3660.d	Bait_Group_3	P61981
MAC_C_COX14_BIO1_S1-H1_1_3766.d	Bait_Group_4	Q13618
MAC_C_COX14_BIO2_S1-H2_1_3767.d	Bait_Group_4	Q13618
MAC_C_COX14_BIO3_S1-H3_1_3768.d	Bait_Group_4	Q13618
MAC_N_LMNA_BIO1_S1-D1_1_3718.d	Bait_Group_5	P00533
MAC_N_LMNA_BIO2_S1-D2_1_3719.d	Bait_Group_5	P00533
MAC_N_LMNA_BIO3_S1-D3_1_3720.d	Bait_Group_5	P00533
SUC_C_COX14_BIO1_S1-H9_1_3774.d	Bait_Group_6	P63104
SUC_C_COX14_BIO2_S1-H10_1_3775.d	Bait_Group_6	P63104
SUC_C_COX14_BIO3_S1-H11_1_3776.d	Bait_Group_6	P63104
MAC_N_GFP_BIO2_S3-D2_1_3674.d	Control_Group_7	P42212
MAC_N_GFP_BIO4_S3-D4_1_3676.d	Control_Group_7	P42212
MAC_N_GFP_BIO5_S3-D5_1_3677.d	Control_Group_7	P42212
SUC_N_LMNA_BIO1_S1-D9_1_3726.d	Bait_Group_8	P05412
SUC_N_LMNA_BIO2_S1-D10_1_3727.d	Bait_Group_8	P05412
SUC_N_LMNA_BIO3_S1-D11_1_3728.d	Bait_Group_8	P05412
