Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
P11498	reviewed	PYC_HUMAN	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	PC	Homo sapiens (Human)	1178	PC
P38435	reviewed	VKGC_HUMAN	Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)	GGCX GC	Homo sapiens (Human)	758	GGCX
P22234	reviewed	PUR6_HUMAN	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)]	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	425	PAICS
Q13085	reviewed	ACACA_HUMAN	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha)	ACACA ACAC ACC1 ACCA	Homo sapiens (Human)	2346	ACACA
O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	ACACB ACC2 ACCB	Homo sapiens (Human)	2458	ACACB
Q96RQ3	reviewed	MCCA_HUMAN	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	MCCC1 MCCA	Homo sapiens (Human)	725	MCCC1
Q9HCC0	reviewed	MCCB_HUMAN	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)	MCCC2 MCCB	Homo sapiens (Human)	563	MCCC2
P50747	reviewed	BPL1_HUMAN	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	HLCS	Homo sapiens (Human)	726	HLCS
Q8TDX5	reviewed	ACMSD_HUMAN	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	ACMSD	Homo sapiens (Human)	336	ACMSD
P05165	reviewed	PCCA_HUMAN	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	PCCA	Homo sapiens (Human)	728	PCCA
Q9KWU4	reviewed	PYC_BACSU	Pyruvate carboxylase (EC 6.4.1.1) (Pyruvic carboxylase) (PYC)	pyc pycA ylaP BSU14860	Bacillus subtilis (strain 168)	1148	pyc
P05166	reviewed	PCCB_HUMAN	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	PCCB	Homo sapiens (Human)	539	PCCB
P24182	reviewed	ACCC_ECOLI	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)	accC fabG b3256 JW3224	Escherichia coli (strain K12)	449	accC
Q05920	reviewed	PYC_MOUSE	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	Pc Pcx	Mus musculus (Mouse)	1178	Pc
P52873	reviewed	PYC_RAT	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	Pc	Rattus norvegicus (Rat)	1178	Pc
Q29RK2	reviewed	PYC_BOVIN	Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)	PC	Bos taurus (Bovine)	1178	PC
O04983	reviewed	ACCC_ARATH	Biotin carboxylase, chloroplastic (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)	CAC2 At5g35360 T26D22.8	Arabidopsis thaliana (Mouse-ear cress)	537	CAC2
O88496	reviewed	VKGC_RAT	Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)	Ggcx	Rattus norvegicus (Rat)	758	Ggcx
P32874	reviewed	HFA1_YEAST	Acetyl-CoA carboxylase, mitochondrial (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	HFA1 YMR207C YM8261.01C YM8325.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2273	HFA1
P11154	reviewed	PYC1_YEAST	Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)	PYC1 PYV YGL062W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1178	PYC1
P32327	reviewed	PYC2_YEAST	Pyruvate carboxylase 2 (EC 6.4.1.1) (Pyruvic carboxylase 2) (PCB 2)	PYC2 YBR218C YBR1507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1180	PYC2
P54646	reviewed	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	Homo sapiens (Human)	552	PRKAA2
