Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
Q5BKX5	reviewed	ACTMP_HUMAN	Actin maturation protease (EC 3.4.11.-) (Actin aminopeptidase ACTMAP)	ACTMAP C19orf54	Homo sapiens (Human)	351	ACTMAP
P63261	reviewed	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Homo sapiens (Human)	375	ACTG1
P60709	reviewed	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	Homo sapiens (Human)	375	ACTB
P63267	reviewed	ACTH_HUMAN	Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	ACTG2 ACTA3 ACTL3 ACTSG	Homo sapiens (Human)	376	ACTG2
P68133	reviewed	ACTS_HUMAN	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	ACTA1 ACTA	Homo sapiens (Human)	377	ACTA1
P61158	reviewed	ARP3_HUMAN	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Homo sapiens (Human)	418	ACTR3
P61160	reviewed	ARP2_HUMAN	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	Homo sapiens (Human)	394	ACTR2
Q9Y615	reviewed	ACL7A_HUMAN	Actin-like protein 7A (Actin-like-7-alpha)	ACTL7A	Homo sapiens (Human)	435	ACTL7A
P68032	reviewed	ACTC_HUMAN	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	Homo sapiens (Human)	377	ACTC1
P61163	reviewed	ACTZ_HUMAN	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	ACTR1A CTRN1	Homo sapiens (Human)	376	ACTR1A
A6NGG8	reviewed	PCARE_HUMAN	Photoreceptor cilium actin regulator	PCARE C2orf71	Homo sapiens (Human)	1288	PCARE
Q8TC94	reviewed	ACTL9_HUMAN	Actin-like protein 9	ACTL9 ACTL7C HSD21	Homo sapiens (Human)	416	ACTL9
P62736	reviewed	ACTA_HUMAN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	Homo sapiens (Human)	377	ACTA2
Q8N556	reviewed	AFAP1_HUMAN	Actin filament-associated protein 1 (110 kDa actin filament-associated protein) (AFAP-110)	AFAP1 AFAP	Homo sapiens (Human)	730	AFAP1
Q6ZU35	reviewed	CRACD_HUMAN	Capping protein-inhibiting regulator of actin dynamics (Cancer-related regulator of actin dynamics)	CRACD CRAD KIAA1211	Homo sapiens (Human)	1233	CRACD
P60981	reviewed	DEST_HUMAN	Destrin (Actin-depolymerizing factor) (ADF)	DSTN ACTDP DSN	Homo sapiens (Human)	165	DSTN
Q8IZ21	reviewed	PHAR4_HUMAN	Phosphatase and actin regulator 4	PHACTR4 PRO2963	Homo sapiens (Human)	702	PHACTR4
O75167	reviewed	PHAR2_HUMAN	Phosphatase and actin regulator 2	PHACTR2 C6orf56 KIAA0680	Homo sapiens (Human)	634	PHACTR2
