Source database	Reference DB	Reference ID	interaction detection name	interaction detection reference DB	interaction detection reference ID	Protein 1 confidence unit	Protein 1 confidence value	Protein 1 is overexpressed	Protein 1 is tagged	Protein 1 fullName	Protein 1 shortName	Protein 1 organism	Protein 1 xref DB	Protein 1 xref ID	Protein 2 confidence unit	Protein 2 confidence value	Protein 2 is overexpressed	Protein 2 is tagged	Protein 2 fullName	Protein 2 shortName	Protein 2 organism	Protein 2 xref DB	Protein 2 xref ID
MIPS	PubMed	9867828	two hybrid	MI	0018	boolean	1	false	false	S100A8;CAGA;MRP8; calgranulin A (migration inhibitory factor-related protein 8)	1	10090	SP	P27005	boolean	1	false	false	S100A9;CAGB;MRP14; calgranulin B (migration inhibitory factor-related protein 14)	2	10090	SP	P31725
MIPS	PubMed	9867828	two hybrid	MI	0018	boolean	1	false	false	S100A9;CAGB;MRP14; calgranulin B (migration inhibitory factor-related protein 14)	2	10090	SP	P31725	boolean	1	false	false	S100A8;CAGA;MRP8; calgranulin A (migration inhibitory factor-related protein 8)	1	10090	SP	P27005
MIPS	PubMed	9867828	two hybrid	MI	0018	boolean	1	false	false	S100A8;CAGA;MRP8; calgranulin A (migration inhibitory factor-related protein 8)	3	9606	SP	P05109	boolean	1	false	false	S100A9;CAGB;MRP14; calgranulin B (migration inhibitory factor-related protein 14)	4	9606	SP	P06702
MIPS	PubMed	9867828	two hybrid	MI	0018	boolean	1	false	false	S100A9;CAGB;MRP14; calgranulin B (migration inhibitory factor-related protein 14)	4	9606	SP	P06702	boolean	1	false	false	S100A8;CAGA;MRP8; calgranulin A (migration inhibitory factor-related protein 8)	3	9606	SP	P05109
MIPS	PubMed	10611319	copurification	MI	0025	boolean	1	false	false	TRP3; calcium influx channel protein	5	9606	GB	U47050	boolean	1	false	false	IP3R-3; inositol 1,4,5-trisphosphate receptor, type 3	6	9606	GB	D26351
MIPS	PubMed	10611319	copurification	MI	0025	boolean	1	false	false	IP3R-3; inositol 1,4,5-trisphosphate receptor, type 3	6	9606	GB	D26351	boolean	1	false	false	TRP3; calcium influx channel protein	5	9606	GB	U47050
MIPS	PubMed	10611319	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	TRP3; calcium influx channel protein	5	9606	GB	U47050	boolean	1	false	false	IP3R-3; inositol 1,4,5-trisphosphate receptor, type 3	6	9606	GB	D26351
MIPS	PubMed	8649853	coip: coimmunoprecipitation	MI	0019	boolean	0	false	false	ARG;ABL2;ABLL; nonreceptor protein-tyrosine kinase Arg (Abelson family)	7	9606	SP	P42684	boolean	1	false	false	ArgBP1A; Arg protein tyrosine kinase binding protein	8	9606	GB	X95632
MIPS	PubMed	10409740	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	SP1;TSFP1; transcription factor Sp1	193	9606	SP	P08047	boolean	0	false	false	HDAC1; histone deacetylase 1	12	10090	SP	O09106
MIPS	PubMed	10409740	copurification	MI	0025	boolean	1	false	false	SP1;TSFP1; transcription factor Sp1	193	9606	SP	P08047	boolean	0	false	false	HDAC1; histone deacetylase 1	12	10090	SP	O09106
MIPS	PubMed	10409740	copurification	MI	0025	boolean	0	false	false	HDAC1; histone deacetylase 1	12	10090	SP	O09106	boolean	1	false	false	SP1;TSFP1; transcription factor Sp1	193	9606	SP	P08047
MIPS	PubMed	10608857	two hybrid	MI	0018	boolean	1	false	false	SMN;SMN1; survival motor neuron protein	9	9606	SP	Q16637	boolean	1	false	false	PFN2; profilin, isoform II	13	10090	SP	Q9JJV2
MIPS	PubMed	10608857	two hybrid	MI	0018	boolean	1	false	false	SMN;SMN1; survival motor neuron protein	9	9606	SP	Q16637	boolean	1	false	false	PFN1; profilin, isoform I	10	10090	SP	P10924
MIPS	PubMed	10608857	coip: coimmunoprecipitation	MI	0019	boolean	1	false	false	SMN;SMN1; survival motor neuron protein	9	9606	SP	Q16637	boolean	1	false	false	PFN1; profilin, isoform I	10	10090	SP	P10924
MIPS	PubMed	10608857	copurification	MI	0025	boolean	1	false	false	SMN;SMN1; survival motor neuron protein	9	9606	SP	Q16637	boolean	1	false	false	PFN2; profilin, isoform II	13	10090	SP	Q9JJV2
