Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
P16401	reviewed	H15_HUMAN	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	Homo sapiens (Human)	226	H1-5
P16403	reviewed	H12_HUMAN	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	H1-2 H1F2 HIST1H1C	Homo sapiens (Human)	213	H1-2
P68431	reviewed	H31_HUMAN	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J	Homo sapiens (Human)	136	H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12
P10412	reviewed	H14_HUMAN	Histone H1.4 (Histone H1b) (Histone H1s-4)	H1-4 H1F4 HIST1H1E	Homo sapiens (Human)	219	H1-4
P16402	reviewed	H13_HUMAN	Histone H1.3 (Histone H1c) (Histone H1s-2)	H1-3 H1F3 HIST1H1D	Homo sapiens (Human)	221	H1-3
Q71DI3	reviewed	H32_HUMAN	Histone H3.2 (H3-clustered histone 13) (H3-clustered histone 14) (H3-clustered histone 15) (Histone H3/m) (Histone H3/o)	H3C15 HIST2H3A; H3C14 H3F2 H3FM HIST2H3C; H3C13 HIST2H3D	Homo sapiens (Human)	136	H3C15; H3C14; H3C13
P22492	reviewed	H1T_HUMAN	Histone H1t (Testicular H1 histone)	H1-6 H1FT H1T HIST1H1T	Homo sapiens (Human)	207	H1-6
Q92522	reviewed	H1X_HUMAN	Histone H1.10 (Histone H1x)	H1-10 H1FX	Homo sapiens (Human)	213	H1-10
Q02539	reviewed	H11_HUMAN	Histone H1.1 (Histone H1a)	H1-1 H1F1 HIST1H1A	Homo sapiens (Human)	215	H1-1
P07305	reviewed	H10_HUMAN	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	H1-0 H1F0 H1FV	Homo sapiens (Human)	194	H1-0
Q6FI13	reviewed	H2A2A_HUMAN	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4	Homo sapiens (Human)	130	H2AC18; H2AC19
Q16777	reviewed	H2A2C_HUMAN	Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q)	H2AC20 H2AFQ HIST2H2AC	Homo sapiens (Human)	129	H2AC20
Q8IZA3	reviewed	H18_HUMAN	Histone H1.8 (Histone H1oo) (Oocyte-specific histone H1) (Oocyte-specific linker histone H1) (osH1)	H1-8 H1FOO H1OO OSH1	Homo sapiens (Human)	346	H1-8
P04908	reviewed	H2A1B_HUMAN	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE	Homo sapiens (Human)	130	H2AC4; H2AC8
P0DPK2	reviewed	H3Y1_HUMAN	Histone H3.Y (Histone H3.Y1)	H3Y1	Homo sapiens (Human)	136	H3Y1
P0DPK5	reviewed	H3Y2_HUMAN	Histone H3.X (Histone H3.Y2)	H3Y2	Homo sapiens (Human)	147	H3Y2
Q6NXT2	reviewed	H3C_HUMAN	Histone H3.3C (Histone H3.5)	H3-5 H3F3C	Homo sapiens (Human)	135	H3-5
P20671	reviewed	H2A1D_HUMAN	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)	H2AC7 H2AFG HIST1H2AD	Homo sapiens (Human)	130	H2AC7
P33778	reviewed	H2B1B_HUMAN	Histone H2B type 1-B (H2B-clustered histone 3) (Histone H2B.1) (Histone H2B.f) (H2B/f)	H2BC3 H2BFF HIST1H2BB	Homo sapiens (Human)	126	H2BC3
P23527	reviewed	H2B1O_HUMAN	Histone H2B type 1-O (H2B-clustered histone 17) (Histone H2B.2) (Histone H2B.n) (H2B/n)	H2BC17 H2BFH H2BFN HIST1H2BO	Homo sapiens (Human)	126	H2BC17
Q16778	reviewed	H2B2E_HUMAN	Histone H2B type 2-E (H2B-clustered histone 21) (Histone H2B-GL105) (Histone H2B.q) (H2B/q)	H2BC21 H2BFQ HIST2H2BE	Homo sapiens (Human)	126	H2BC21
Q93077	reviewed	H2A1C_HUMAN	Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l)	H2AC6 H2AFL HIST1H2AC	Homo sapiens (Human)	130	H2AC6
Q96QV6	reviewed	H2A1A_HUMAN	Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r)	H2AC1 H2AFR HIST1H2AA	Homo sapiens (Human)	131	H2AC1
P16104	reviewed	H2AX_HUMAN	Histone H2AX (H2a/x) (Histone H2A.X)	H2AX H2AFX	Homo sapiens (Human)	143	H2AX
Q96KK5	reviewed	H2A1H_HUMAN	Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s)	H2AC12 HIST1H2AH HIST1H2AI	Homo sapiens (Human)	128	H2AC12
P62805	reviewed	H4_HUMAN	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4	Homo sapiens (Human)	103	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16
P06899	reviewed	H2B1J_HUMAN	Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r)	H2BC11 H2BFR HIST1H2BJ	Homo sapiens (Human)	126	H2BC11
Q7L7L0	reviewed	H2A3_HUMAN	Histone H2A type 3 (H2A-clustered histone 25)	H2AC25 H2AW HIST3H2A	Homo sapiens (Human)	130	H2AC25
