Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
P04792	reviewed	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	HSPB1
P63284	reviewed	CLPB_ECOLI	Chaperone protein ClpB (Heat shock protein F84.1)	clpB htpM b2592 JW2573	Escherichia coli (strain K12)	857	clpB
P10591	reviewed	HSP71_YEAST	Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	SSA1
Q00613	reviewed	HSF1_HUMAN	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	Homo sapiens (Human)	529	HSF1
O14558	reviewed	HSPB6_HUMAN	Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20)	HSPB6	Homo sapiens (Human)	160	HSPB6
P0DMV9	reviewed	HS71B_HUMAN	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)	HSPA1B HSP72	Homo sapiens (Human)	641	HSPA1B
P34932	reviewed	HSP74_HUMAN	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)	HSPA4 APG2	Homo sapiens (Human)	840	HSPA4
P15992	reviewed	HSP26_YEAST	Heat shock protein 26 (26 kDa heat shock protein)	HSP26 YBR072W YBR0714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214	HSP26
P08238	reviewed	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724	HSP90AB1
P10592	reviewed	HSP72_YEAST	Heat shock protein SSA2	SSA2 YLL024C L0931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	639	SSA2
P0A6G7	reviewed	CLPP_ECOLI	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)	clpP lopP b0437 JW0427	Escherichia coli (strain K12)	207	clpP
P0DMV8	reviewed	HS71A_HUMAN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	HSPA1A HSP72 HSPA1 HSX70	Homo sapiens (Human)	641	HSPA1A
P31170	reviewed	HS25P_ARATH	Heat shock protein 21, chloroplastic (25.3 kDa heat shock protein, chloroplastic) (AtHsp25.3)	HSP21 HSP25.3 At4g27670 T29A15.160	Arabidopsis thaliana (Mouse-ear cress)	227	HSP21
P10961	reviewed	HSF_YEAST	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	HSF1 YGL073W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833	HSF1
Q92598	reviewed	HS105_HUMAN	Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)	HSPH1 HSP105 HSP110 KIAA0201	Homo sapiens (Human)	858	HSPH1
P22813	reviewed	HSF_DROME	Heat shock factor protein (HSF) (Heat shock transcription factor) (HSTF)	Hsf CG5748	Drosophila melanogaster (Fruit fly)	691	Hsf
Q03933	reviewed	HSF2_HUMAN	Heat shock factor protein 2 (HSF 2) (Heat shock transcription factor 2) (HSTF 2)	HSF2 HSTF2	Homo sapiens (Human)	536	HSF2
P34058	reviewed	HS90B_RAT	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84)	Hsp90ab1 Hsp84 Hspcb	Rattus norvegicus (Rat)	724	Hsp90ab1
P42930	reviewed	HSPB1_RAT	Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27)	Hspb1 Hsp27	Rattus norvegicus (Rat)	206	Hspb1
P11142	reviewed	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	646	HSPA8
P82995	reviewed	HS90A_RAT	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86)	Hsp90aa1 Hsp86 Hspca	Rattus norvegicus (Rat)	733	Hsp90aa1
P0C054	reviewed	IBPA_ECOLI	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA hslT htpN b3687 JW3664	Escherichia coli (strain K12)	137	ibpA
P0A6Y8	reviewed	DNAK_ECOLI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK groP grpF seg b0014 JW0013	Escherichia coli (strain K12)	638	dnaK
P0C058	reviewed	IBPB_ECOLI	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB hslS htpE b3686 JW3663	Escherichia coli (strain K12)	142	ibpB
P11147	reviewed	HSP7D_DROME	Heat shock 70 kDa protein cognate 4 (Heat shock 70 kDa protein 88E)	Hsc70-4 Hsc4 CG4264	Drosophila melanogaster (Fruit fly)	651	Hsc70-4
P0A6Z3	reviewed	HTPG_ECOLI	Chaperone protein HtpG (Heat shock protein C62.5) (Heat shock protein HtpG) (High temperature protein G)	htpG b0473 JW0462	Escherichia coli (strain K12)	624	htpG
P15705	reviewed	STI1_YEAST	Heat shock protein STI1	STI1 YOR027W OR26.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	589	STI1
P97541	reviewed	HSPB6_RAT	Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20) (Hsp20)	Hspb6	Rattus norvegicus (Rat)	162	Hspb6
P10809	reviewed	CH60_HUMAN	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	Homo sapiens (Human)	573	HSPD1
P63018	reviewed	HSP7C_RAT	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Rattus norvegicus (Rat)	646	Hspa8
P63017	reviewed	HSP7C_MOUSE	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Mus musculus (Mouse)	646	Hspa8
Q8GW48	reviewed	HSBP_ARATH	Heat shock factor-binding protein (AtHSBP)	HSBP At4g15802 dl3940c	Arabidopsis thaliana (Mouse-ear cress)	86	HSBP
P23894	reviewed	HTPX_ECOLI	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	htpX b1829 JW1818	Escherichia coli (strain K12)	293	htpX
P33416	reviewed	HSP78_YEAST	Heat shock protein 78, mitochondrial	HSP78 YDR258C YD9320A.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	811	HSP78
Q61699	reviewed	HS105_MOUSE	Heat shock protein 105 kDa (42 degrees C-HSP) (Heat shock 110 kDa protein) (Heat shock-related 100 kDa protein E7I) (HSP-E7I)	Hsph1 Hsp105 Hsp110 Kiaa0201	Mus musculus (Mouse)	858	Hsph1
P25685	reviewed	DNJB1_HUMAN	DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)	DNAJB1 DNAJ1 HDJ1 HSPF1	Homo sapiens (Human)	340	DNAJB1
P32589	reviewed	HSP7F_YEAST	Heat shock protein homolog SSE1 (Chaperone protein MSI3)	SSE1 MSI3 YPL106C LPG3C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	693	SSE1
P07900	reviewed	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	732	HSP90AA1
P15108	reviewed	HSC82_YEAST	ATP-dependent molecular chaperone HSC82 (82 kDa heat shock cognate protein) (Heat shock protein Hsp90 constitutive isoform)	HSC82 YMR186W YM8010.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	705	HSC82
P14602	reviewed	HSPB1_MOUSE	Heat shock protein beta-1 (HspB1) (Growth-related 25 kDa protein) (Heat shock 25 kDa protein) (HSP 25) (Heat shock 27 kDa protein) (HSP 27) (p25)	Hspb1 Hsp25 Hsp27	Mus musculus (Mouse)	209	Hspb1
Q9UBY9	reviewed	HSPB7_HUMAN	Heat shock protein beta-7 (HspB7) (Cardiovascular heat shock protein) (cvHsp)	HSPB7 CVHSP	Homo sapiens (Human)	170	HSPB7
P83581	reviewed	HS74L_RAT	Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	Hspa4l Apg1 Hsp4l Osp94	Rattus norvegicus (Rat)	24	Hspa4l
P0ACG8	reviewed	HSLR_ECOLI	Heat shock protein 15 (HSP15)	hslR yrfH b3400 JW3363	Escherichia coli (strain K12)	133	hslR
Q61696	reviewed	HS71A_MOUSE	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3) (HSP70.3) (Hsp68)	Hspa1a Hsp70-3 Hsp70A1	Mus musculus (Mouse)	641	Hspa1a
P36016	reviewed	LHS1_YEAST	Heat shock protein 70 homolog LHS1 (EC 3.6.1.-)	LHS1 YKL073W YKL355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881	LHS1
P11021	reviewed	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	Homo sapiens (Human)	654	HSPA5
P02829	reviewed	HSP82_YEAST	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	HSP82 HSP90 YPL240C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709	HSP82
