Entry	Reviewed	Entry name	Protein names	Gene names	Organism	Length	Gene names (primary)
O14618	reviewed	CCS_HUMAN	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	CCS	Homo sapiens (Human)	274	CCS
Q16543	reviewed	CDC37_HUMAN	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	CDC37 CDC37A	Homo sapiens (Human)	378	CDC37
Q53FP2	reviewed	NACHO_HUMAN	Novel acetylcholine receptor chaperone	TMEM35A NACHO TMEM35	Homo sapiens (Human)	167	TMEM35A
Q14061	reviewed	COX17_HUMAN	Cytochrome c oxidase copper chaperone	COX17	Homo sapiens (Human)	63	COX17
Q14696	reviewed	MESD_HUMAN	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)	MESD KIAA0081 MESDC2 MESDM UNQ1911/PRO4369	Homo sapiens (Human)	234	MESD
Q15813	reviewed	TBCE_HUMAN	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	TBCE	Homo sapiens (Human)	527	TBCE
Q9Y276	reviewed	BCS1_HUMAN	Mitochondrial chaperone BCS1 (h-BCS1) (BCS1-like protein)	BCS1L BCS1	Homo sapiens (Human)	419	BCS1L
Q8IWL3	reviewed	HSC20_HUMAN	Iron-sulfur cluster co-chaperone protein HscB (DnaJ homolog subfamily C member 20) [Cleaved into: Iron-sulfur cluster co-chaperone protein HscB, cytoplasmic (C-HSC20); Iron-sulfur cluster co-chaperone protein HscB, mitochondrial]	HSCB DNAJC20 HSC20	Homo sapiens (Human)	235	HSCB
Q15814	reviewed	TBCC_HUMAN	Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC)	TBCC	Homo sapiens (Human)	346	TBCC
Q8NI60	reviewed	COQ8A_HUMAN	Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)	COQ8A ADCK3 CABC1 PP265	Homo sapiens (Human)	647	COQ8A
Q7L3B6	reviewed	CD37L_HUMAN	Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37)	CDC37L1 CDC37B HARC	Homo sapiens (Human)	337	CDC37L1
Q9BQA9	reviewed	CYBC1_HUMAN	Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros)	CYBC1 C17orf62 EROS	Homo sapiens (Human)	187	CYBC1
Q9UL15	reviewed	BAG5_HUMAN	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	BAG5 KIAA0873	Homo sapiens (Human)	447	BAG5
O95816	reviewed	BAG2_HUMAN	BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2)	BAG2	Homo sapiens (Human)	211	BAG2
